Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 03:04:19
Collection Length (seconds):, 111.7125
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0035248, 0, 0.0871582, 0, -1.0425415, 0, -0.2417603, 0, -4.0687022, 0, -1.0305344, 0, -12.0305347
0.0007941, -0.0028534, 0.00675, 0.0296021, 0.00675, -1.0461426, 0.00675, -0.2234497, 0.00675, -1.2748091, 0.00675, -5.6183205, 0.00675, -12.1832066
0.0015882, -0.0062104, 0.0135, -0.0386963, 0.0135, -1.0535889, 0.0135, -0.2006226, 0.0135, 2.1450381, 0.0135, -12.2442751, 0.0135, -12.4045801
0.0023824, -0.0092317, 0.02025, -0.0946655, 0.02025, -1.0564575, 0.02025, -0.1935425, 0.02025, 6.961832, 0.02025, -22.1526718, 0.02025, -12.3816795
0.0031765, -0.0125887, 0.027, -0.1132812, 0.027, -1.0420532, 0.027, -0.1914062, 0.027, 11.9389315, 0.027, -34.1908379, 0.027, -12.1908398
0.0039706, -0.0139315, 0.03375, -0.0900879, 0.03375, -1.0159302, 0.03375, -0.2179565, 0.03375, 16.3129768, 0.03375, -47.1755714, 0.03375, -11.8702288
0.0047647, -0.010071, 0.0405, -0.0609741, 0.0405, -1.0029907, 0.0405, -0.2315674, 0.0405, 19.396946, 0.0405, -59.2977104, 0.0405, -11.7938929
0.0055588, -0.0082246, 0.04725, 0.0141602, 0.04725, -0.9931641, 0.04725, -0.2358398, 0.04725, 21.1297703, 0.04725, -67.9618301, 0.04725, -11.7099237
0.0063529, -0.0082246, 0.054, 0.0891724, 0.054, -0.9933472, 0.054, -0.229126, 0.054, 22.9312973, 0.054, -71.9694672, 0.054, -11.4122133
0.0071471, -0.0105745, 0.06075, 0.1411743, 0.06075, -0.9927368, 0.06075, -0.2196045, 0.06075, 25.3893127, 0.06075, -69.3969498, 0.06075, -10.5572519
0.0079412, -0.012253, 0.0675, 0.1702881, 0.0675, -0.9897461, 0.0675, -0.2178955, 0.0675, 27.67939, 0.0675, -61.3358765, 0.0675, -8.7251911
0.0087353, -0.0129244, 0.07425, 0.1798706, 0.07425, -0.973938, 0.07425, -0.2084351, 0.07425, 29.0152664, 0.07425, -51.0839691, 0.07425, -6.7251906
0.0095294, -0.012253, 0.081, 0.166626, 0.081, -0.9657593, 0.081, -0.1865845, 0.081, 29.4580154, 0.081, -46.0992355, 0.081, -5.961832
0.0103235, -0.0115816, 0.08775, 0.1415405, 0.08775, -0.9594116, 0.08775, -0.1872559, 0.08775, 30.1832066, 0.08775, -39.4732819, 0.08775, -5.1755724
0.0111176, -0.01561, 0.0945, 0.1275635, 0.0945, -0.9395142, 0.0945, -0.2004395, 0.0945, 30.1450386, 0.0945, -35.9389305, 0.0945, -4.8015265
0.0119118, -0.0201419, 0.10125, 0.1246948, 0.10125, -0.9135742, 0.10125, -0.2001953, 0.10125, 28.4961834, 0.10125, -33.9694672, 0.10125, -4.8549619
0.0127059, -0.0323949, 0.108, 0.1308594, 0.108, -0.8843384, 0.108, -0.1879272, 0.108, 26.2977104, 0.108, -32.2595406, 0.108, -4.5572519
0.0135, -0.0530404, 0.11475, 0.1383667, 0.11475, -0.8727417, 0.11475, -0.1801147, 0.11475, 23.4732819, 0.11475, -30.1908398, 0.11475, -4.0610685
0.0142941, -0.0637827, 0.1215, 0.1474609, 0.1215, -0.8596802, 0.1215, -0.1697998, 0.1215, 20.5801525, 0.1215, -26.7786255, 0.1215, -3.259542
0.0150882, -0.0535439, 0.12825, 0.1578369, 0.12825, -0.8487549, 0.12825, -0.1647339, 0.12825, 17.1908398, 0.12825, -21.2137413, 0.12825, -2.221374
0.0158824, -0.030045, 0.135, 0.1617432, 0.135, -0.8424683, 0.135, -0.1550293, 0.135, 13.3511448, 0.135, -16.5725193, 0.135, -1.7938931
0.0166765, 0.0058747, 0.14175, 0.1393433, 0.14175, -0.8426514, 0.14175, -0.1651001, 0.14175, 10.0152674, 0.14175, -11.7480917, 0.14175, -1.7862595
