Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 03:32:29
Collection Length (seconds):, 115.7355
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0115816, 0, -0.0197144, 0, -1.0125732, 0, -0.159729, 0, -1.6793894, 0, 5.0839696, 0, -2.7480917
0.0007941, -0.0102388, 0.00675, -0.0181274, 0.00675, -1.0117798, 0.00675, -0.1551514, 0.00675, -1.6641221, 0.00675, 4.8549619, 0.00675, -3.0687022
0.0015882, -0.0135958, 0.0135, -0.0167236, 0.0135, -1.013855, 0.0135, -0.1534424, 0.0135, -1.038168, 0.0135, 4.9465647, 0.0135, -3.259542
0.0023824, -0.0162814, 0.02025, -0.0227051, 0.02025, -1.0116577, 0.02025, -0.1564331, 0.02025, -0.6641222, 0.02025, 5.5801525, 0.02025, -3.2290077
0.0031765, -0.0179599, 0.027, -0.0298462, 0.027, -1.0090332, 0.027, -0.1585083, 0.027, 0.1679389, 0.027, 5.6870227, 0.027, -3.2671757
0.0039706, -0.0182956, 0.03375, -0.03302, 0.03375, -1.0054932, 0.03375, -0.1605835, 0.03375, 0.5114504, 0.03375, 4.7251906, 0.03375, -3.4122138
0.0047647, -0.0203098, 0.0405, -0.036499, 0.0405, -1.0065308, 0.0405, -0.1672363, 0.0405, 0.648855, 0.0405, 4.0687022, 0.0405, -3.5877862
0.0055588, -0.0196384, 0.04725, -0.0380249, 0.04725, -1.0119629, 0.04725, -0.1681519, 0.04725, 0.8778626, 0.04725, 2.7938931, 0.04725, -3.9236641
0.0063529, -0.0169528, 0.054, -0.036438, 0.054, -1.0093384, 0.054, -0.173584, 0.054, 1.2137405, 0.054, 1.6259542, 0.054, -4.1526718
0.0071471, -0.0166171, 0.06075, -0.0257568, 0.06075, -1.0038452, 0.06075, -0.1815796, 0.06075, 1.4961832, 0.06075, 0.4580153, 0.06075, -4.4580154
0.0079412, -0.0193027, 0.0675, -0.0162354, 0.0675, -1.0015869, 0.0675, -0.1845093, 0.0675, 1.778626, 0.0675, -0.0305344, 0.0675, -4.6412215
0.0087353, -0.0184634, 0.07425, -0.0124512, 0.07425, -1.0007935, 0.07425, -0.1820068, 0.07425, 1.908397, 0.07425, 0.1679389, 0.07425, -4.6564884
0.0095294, -0.01561, 0.081, -0.0083618, 0.081, -0.999939, 0.081, -0.1703491, 0.081, 1.7557251, 0.081, 0.7099237, 0.081, -4.8091602
0.0103235, -0.0166171, 0.08775, -0.0075073, 0.08775, -1.0004272, 0.08775, -0.1660767, 0.08775, 1.7938931, 0.08775, 1.4427481, 0.08775, -4.9847326
0.0111176, -0.018967, 0.0945, -0.0072632, 0.0945, -1.0106812, 0.0945, -0.159668, 0.0945, 1.8854961, 0.0945, 1.8015267, 0.0945, -4.9465647
0.0119118, -0.0182956, 0.10125, -0.0084839, 0.10125, -1.0135498, 0.10125, -0.1534424, 0.10125, 1.9770992, 0.10125, 1.5648855, 0.10125, -5.0763359
0.0127059, -0.0182956, 0.108, -0.0170288, 0.108, -1.0124512, 0.108, -0.1500854, 0.108, 2.5114503, 0.108, 1.0992366, 0.108, -5.1755724
0.0135, -0.0208133, 0.11475, -0.0197754, 0.11475, -1.0114136, 0.11475, -0.1465454, 0.11475, 2.4656489, 0.11475, 0.389313, 0.11475, -5.1908398
0.0142941, -0.0176242, 0.1215, -0.0214844, 0.1215, -1.013855, 0.1215, -0.144165, 0.1215, 2.4198472, 0.1215, 0.0839695, 0.1215, -5.259542
0.0150882, -0.0164492, 0.12825, -0.0171509, 0.12825, -1.0167847, 0.12825, -0.1404419, 0.12825, 2.351145, 0.12825, -0.1984733, 0.12825, -5.4351144
0.0158824, -0.0142672, 0.135, -0.0163574, 0.135, -1.015564, 0.135, -0.1403198, 0.135, 2.3969467, 0.135, -0.3282443, 0.135, -5.3740458
0.0166765, -0.0129244, 0.14175, -0.0089111, 0.14175, -1.0097046, 0.14175, -0.1390991, 0.14175, 2.8931298, 0.14175, -0.6793893, 0.14175, -5.2671757
0.0174706, -0.0104067, 0.1485, -0.0049438, 0.1485, -1.0036621, 0.1485, -0.1448975, 0.1485, 3.2137403, 0.1485, -1.0610687, 0.1485, -5.4351144
0.0182647, -0.0135958, 0.15525, -0.0053711, 0.15525, -1.0013428, 0.15525, -0.1471558, 0.15525, 2.778626, 0.15525, -1.5572519, 0.15525, -5.5419846
0.0190588, -0.0149386, 0.162, -0.0077515, 0.162, -1.0023193, 0.162, -0.1539307, 0.162, 2.7480917, 0.162, -1.5877863, 0.162, -5.4122138
0.0198529, -0.0099031, 0.16875, -0.0050659, 0.16875, -0.9997559, 0.16875, -0.1534424, 0.16875, 2.7480917, 0.16875, -1.3587786, 0.16875, -5.4580154
0.0206471, -0.0085603, 0.1755, -0.0059204, 0.1755, -0.9976196, 0.1755, -0.1538696, 0.1755, 2.6030533, 0.1755, -1.0610687, 0.1755, -5.5572519
0.0214412, -0.0073854, 0.18225, -0.0036011, 0.18225, -1.0014648, 0.18225, -0.1523438, 0.18225, 2.480916, 0.18225, -0.9847328, 0.18225, -5.5725193
0.0222353, -0.012253, 0.189, -0.0008545, 0.189, -1.0037231, 0.189, -0.1481323, 0.189, 2.4045801, 0.189, -0.8549618, 0.189, -5.519084
0.0230294, -0.0102388, 0.19575, 0.0002441, 0.19575, -1.0037842, 0.19575, -0.1445923, 0.19575, 2.4580152, 0.19575, -0.7862595, 0.19575, -5.6717558
0.0238235, -0.0082246, 0.2025, 0.0061646, 0.2025, -0.9990234, 0.2025, -0.1414185, 0.2025, 2.1679389, 0.2025, -0.9007633, 0.2025, -5.4122138
0.0246176, -0.0092317, 0.20925, 0.0081177, 0.20925, -1.0027466, 0.20925, -0.1363525, 0.20925, 1.9923664, 0.20925, -0.5496183, 0.20925, -5.4503818
0.0254118, -0.0104067, 0.216, 0.0056763, 0.216, -1.0048218, 0.216, -0.131897, 0.216, 1.9541985, 0.216, 0.0610687, 0.216, -5.4198475
0.0262059, -0.0119173, 0.22275, 0.0043335, 0.22275, -1.0055542, 0.22275, -0.1309204, 0.22275, 1.8778626, 0.22275, 0.2137405, 0.22275, -5.3282442
0.027, -0.0115816, 0.2295, 0.0120239, 0.2295, -1.0067139, 0.2295, -0.1288452, 0.2295, 1.6793894, 0.2295, 0.2442748, 0.2295, -5.3511453
0.0277941, -0.012253, 0.23625, 0.0105591, 0.23625, -1.0062866, 0.23625, -0.1279907, 0.23625, 1.5648855, 0.23625, 0.5572519, 0.23625, -5.2977099
0.0285882, -0.0125887, 0.243, 0.0090942, 0.243, -1.0032959, 0.243, -0.128479, 0.243, 1.3740458, 0.243, 0.5572519, 0.243, -5.1679387
0.0293824, -0.0152743, 0.24975, 0.0062866, 0.24975, -1.0045166, 0.24975, -0.1359863, 0.24975, 1.3206106, 0.24975, 0.7022901, 0.24975, -5.1450381
0.0301765, -0.0159457, 0.2565, 0.003479, 0.2565, -1.0022583, 0.2565, -0.1407471, 0.2565, 1.091603, 0.2565, 0.4503817, 0.2565, -4.961832
0.0309706, -0.0146029, 0.26325, 0.0048828, 0.26325, -1.0067749, 0.26325, -0.1437988, 0.26325, 0.5572519, 0.26325, 0.648855, 0.26325, -5.0534353
0.0317647, -0.0132601, 0.27, 0.0037842, 0.27, -1.0118408, 0.27, -0.1442871, 0.27, 0.2442748, 0.27, 1.3206106, 0.27, -5.1221375
0.0325588, -0.0125887, 0.27675, 0.0020142, 0.27675, -1.0089722, 0.27675, -0.1410522, 0.27675, 0.1679389, 0.27675, 1.3587786, 0.27675, -5.0458016
0.0333529, -0.0135958, 0.2835, 0.0010986, 0.2835, -1.0061646, 0.2835, -0.1472778, 0.2835, 0.1603053, 0.2835, 1.2519084, 0.2835, -5.0610685
0.0341471, -0.0129244, 0.29025, -0.0007324, 0.29025, -1.0079956, 0.29025, -0.151123, 0.29025, 0.2900763, 0.29025, 0.7557252, 0.29025, -4.9770994
0.0349412, -0.0109102, 0.297, -0.0030518, 0.297, -1.0066528, 0.297, -0.149353, 0.297, 0.0229008, 0.297, 0.5801527, 0.297, -4.9083967
0.0357353, -0.0107424, 0.30375, -0.0036621, 0.30375, -1.0041504, 0.30375, -0.1479492, 0.30375, -0.0229008, 0.30375, 0.6183206, 0.30375, -4.9465647
0.0365294, -0.0099031, 0.3105, -0.0026245, 0.3105, -1.0071411, 0.3105, -0.147644, 0.3105, -0.0152672, 0.3105, 0.5496183, 0.3105, -4.6870227
0.0373235, -0.012253, 0.31725, 0.0014038, 0.31725, -1.0046997, 0.31725, -0.15271, 0.31725, 0.1679389, 0.31725, 0.5267175, 0.31725, -4.7938933
0.0381176, -0.0146029, 0.324, 0.0025635, 0.324, -1.00354, 0.324, -0.1522827, 0.324, 0.1679389, 0.324, 0.8320611, 0.324, -4.7328243
0.0389118, -0.0125887, 0.33075, 0.0024414, 0.33075, -1.0072632, 0.33075, -0.1528931, 0.33075, 0.1908397, 0.33075, 1.2977099, 0.33075, -4.7328243
0.0397059, -0.01561, 0.3375, 0.0055542, 0.3375, -1.0085449, 0.3375, -0.1518555, 0.3375, 0.4503817, 0.3375, 1.3282443, 0.3375, -4.6030536
0.0405, -0.0135958, 0.34425, 0.0048218, 0.34425, -1.005188, 0.34425, -0.1517944, 0.34425, 0.6412213, 0.34425, 0.9847328, 0.34425, -4.5419846
0.0412941, -0.0149386, 0.351, 0.0065918, 0.351, -1.0057983, 0.351, -0.1517334, 0.351, 0.7862595, 0.351, 0.8625954, 0.351, -4.6106873
0.0420882, -0.0162814, 0.35775, 0.0076294, 0.35775, -1.0081177, 0.35775, -0.1569824, 0.35775, 0.778626, 0.35775, 0.6259542, 0.35775, -4.480916
0.0428824, -0.018967, 0.3645, 0.0067749, 0.3645, -1.0061035, 0.3645, -0.1572266, 0.3645, 0.2366412, 0.3645, 0.9007633, 0.3645, -4.5877862
0.0436765, -0.0186313, 0.37125, 0.0091553, 0.37125, -1.0058594, 0.37125, -0.15448, 0.37125, 0.0610687, 0.37125, 1.091603, 0.37125, -4.6412215
0.0444706, -0.0196384, 0.378, 0.0059204, 0.378, -1.0083008, 0.378, -0.1566772, 0.378, 0.2748092, 0.378, 1.038168, 0.378, -4.4351144
0.0452647, -0.0203098, 0.38475, -0.0002441, 0.38475, -1.0076904, 0.38475, -0.1548462, 0.38475, 0.480916, 0.38475, 1.038168, 0.38475, -4.4732823
0.0460588, -0.0176242, 0.3915, -0.0006104, 0.3915, -1.008728, 0.3915, -0.1514282, 0.3915, 0.5496183, 0.3915, 0.7633588, 0.3915, -4.5038166
