Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 12:58:26
Collection Length (seconds):, 110.9565
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, 0.0652934, 0, -0.2523193, 0, -0.9822998, 0, -0.0514526, 0, -23.2671757, 0, 6.9847326, 0, 11.0458012
0.0007941, 0.1096056, 0.00675, -0.244873, 0.00675, -0.9970093, 0.00675, -0.041626, 0.00675, -22.0687027, 0.00675, 4.1984735, 0.00675, 10.0763359
0.0015882, 0.0762036, 0.0135, -0.2391968, 0.0135, -1.0003052, 0.0135, -0.0491943, 0.0135, -20.7557259, 0.0135, 2.7938931, 0.0135, 9.4656487
0.0023824, 0.0365911, 0.02025, -0.2369385, 0.02025, -0.9842529, 0.02025, -0.0565796, 0.02025, -19.9312973, 0.02025, 0.1526718, 0.02025, 8.6335878
0.0031765, 0.0125887, 0.027, -0.2293091, 0.027, -0.9655151, 0.027, -0.0567017, 0.027, -19.0687027, 0.027, -1.7251909, 0.027, 7.7633586
0.0039706, -0.0023499, 0.03375, -0.2214966, 0.03375, -0.9499512, 0.03375, -0.0693359, 0.03375, -17.9236641, 0.03375, -2.7251909, 0.03375, 6.3969464
0.0047647, -0.0139315, 0.0405, -0.2127686, 0.0405, -0.9423218, 0.0405, -0.0777588, 0.0405, -17.3282452, 0.0405, -2.870229, 0.0405, 5.5038166
0.0055588, -0.01561, 0.04725, -0.2058105, 0.04725, -0.9465332, 0.04725, -0.0834351, 0.04725, -16.67939, 0.04725, -2.3664122, 0.04725, 4.5114503
0.0063529, -0.0216526, 0.054, -0.1989136, 0.054, -0.9523926, 0.054, -0.0791626, 0.054, -15.9389315, 0.054, -0.8931298, 0.054, 3.7251909
0.0071471, -0.0166171, 0.06075, -0.2001343, 0.06075, -0.9523315, 0.06075, -0.0778809, 0.06075, -15.282443, 0.06075, 0.4274809, 0.06075, 3.2061069
0.0079412, -0.01561, 0.0675, -0.2077637, 0.0675, -0.956665, 0.0675, -0.0769043, 0.0675, -14.7862597, 0.0675, 1.351145, 0.0675, 2.6870229
0.0087353, -0.0209812, 0.07425, -0.2155762, 0.07425, -0.9584961, 0.07425, -0.0668945, 0.07425, -14.2290077, 0.07425, 2.091603, 0.07425, 2.1068702
0.0095294, -0.0182956, 0.081, -0.2258301, 0.081, -0.9636841, 0.081, -0.0533447, 0.081, -13.6717558, 0.081, 2.8854961, 0.081, 1.1984733
0.0103235, -0.0142672, 0.08775, -0.2322388, 0.08775, -0.9644775, 0.08775, -0.0510864, 0.08775, -13.0305347, 0.08775, 3.3587787, 0.08775, 0.6183206
0.0111176, -0.0135958, 0.0945, -0.2398071, 0.0945, -0.9655151, 0.0945, -0.0390625, 0.0945, -12.3282442, 0.0945, 3.1832061, 0.0945, 0.0381679
0.0119118, -0.0112459, 0.10125, -0.2474365, 0.10125, -0.970459, 0.10125, -0.0296021, 0.10125, -11.4885492, 0.10125, 3.1832061, 0.10125, -0.4885496
0.0127059, -0.0095674, 0.108, -0.2589111, 0.108, -0.9702759, 0.108, -0.0210571, 0.108, -10.6106873, 0.108, 2.8244274, 0.108, -1.1908396
0.0135, -0.0031891, 0.11475, -0.2701416, 0.11475, -0.9710693, 0.11475, -0.0153198, 0.11475, -9.5343513, 0.11475, 1.5648855, 0.11475, -1.6564885
0.0142941, -0.0115816, 0.1215, -0.2810059, 0.1215, -0.9735107, 0.1215, -0.0117798, 0.1215, -8.6335878, 0.1215, -0.610687, 0.1215, -2.259542
0.0150882, -0.0313878, 0.12825, -0.2855835, 0.12825, -0.982605, 0.12825, 0.0098267, 0.12825, -6.8854961, 0.12825, -3.0305343, 0.12825, -3.0610688
0.0158824, -0.0374304, 0.135, -0.291687, 0.135, -0.9915771, 0.135, 0.0162354, 0.135, -4.5496182, 0.135, -5.4198475, 0.135, -4.038168
0.0166765, -0.0386053, 0.14175, -0.2973633, 0.14175, -0.9935913, 0.14175, 0.0164185, 0.14175, -3.3969467, 0.14175, -6.9389315, 0.14175, -4.7557254
0.0174706, -0.0330663, 0.1485, -0.2950439, 0.1485, -0.998291, 0.1485, 0.0302124, 0.1485, -0.4351145, 0.1485, -10.679389, 0.1485, -6.3206105
0.0182647, -0.026688, 0.15525, -0.2833252, 0.15525, -1.0079346, 0.15525, 0.0591431, 0.15525, 2.8473282, 0.15525, -14.5343513, 0.15525, -8.160305
0.0190588, -0.0276951, 0.162, -0.2689819, 0.162, -1.0043945, 0.162, 0.0474243, 0.162, 5.8320613, 0.162, -16.9770985, 0.162, -9.7480917
0.0198529, -0.0313878, 0.16875, -0.2595215, 0.16875, -0.9788208, 0.16875, 0.0224609, 0.16875, 6.7862597, 0.16875, -16.2137413, 0.16875, -10.0763359
0.0206471, -0.0229953, 0.1755, -0.237854, 0.1755, -0.9473267, 0.1755, -0.0032349, 0.1755, 5.7633586, 0.1755, -13.2061071, 0.1755, -8.717557
0.0214412, -0.0092317, 0.18225, -0.2114258, 0.18225, -0.9291992, 0.18225, -0.0355835, 0.18225, 4.1145039, 0.18225, -8.6564884, 0.18225, -7.0152674
