Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 11:28:00
Collection Length (seconds):, 40.2435
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0005035, 0, 0.0811157, 0, -1.0010986, 0, -0.1854858, 0, 1.2977099, 0, -0.0610687, 0, -4.3969464
0.0007941, -0.0036927, 0.00675, 0.0827026, 0.00675, -0.9958496, 0.00675, -0.1914062, 0.00675, 1.2900764, 0.00675, 0.1755725, 0.00675, -4.3893127
0.0015882, -0.0085603, 0.0135, 0.0797119, 0.0135, -0.9946289, 0.0135, -0.1925049, 0.0135, 0.8320611, 0.0135, 0.4122137, 0.0135, -4.2442746
0.0023824, -0.0151064, 0.02025, 0.0767822, 0.02025, -0.9981079, 0.02025, -0.184021, 0.02025, 0.4503817, 0.02025, 1.091603, 0.02025, -4.0534353
0.0031765, -0.0151064, 0.027, 0.0783691, 0.027, -0.9989014, 0.027, -0.1882935, 0.027, 0.5419847, 0.027, 1.0534351, 0.027, -3.9923663
0.0039706, -0.0182956, 0.03375, 0.0786133, 0.03375, -0.9977417, 0.03375, -0.1947632, 0.03375, 0.7480916, 0.03375, 0.961832, 0.03375, -4.0152674
0.0047647, -0.0216526, 0.0405, 0.0786133, 0.0405, -0.9981079, 0.0405, -0.1879883, 0.0405, 0.9770992, 0.0405, 1.1755725, 0.0405, -3.908397
0.0055588, -0.0226596, 0.04725, 0.0775146, 0.04725, -0.9989624, 0.04725, -0.1807861, 0.04725, 1.1221374, 0.04725, 1.1145039, 0.04725, -4.0076337
0.0063529, -0.023331, 0.054, 0.0749512, 0.054, -1.0019531, 0.054, -0.1832886, 0.054, 1.259542, 0.054, 0.870229, 0.054, -4.0152674
0.0071471, -0.0263523, 0.06075, 0.0752563, 0.06075, -1.0033569, 0.06075, -0.1893311, 0.06075, 1.5038168, 0.06075, 1.1145039, 0.06075, -4.0992365
0.0079412, -0.0283665, 0.0675, 0.0761108, 0.0675, -0.999939, 0.0675, -0.1868896, 0.0675, 1.4274809, 0.0675, 1.129771, 0.0675, -4.1221375
0.0087353, -0.0280308, 0.07425, 0.0778198, 0.07425, -1.0024414, 0.07425, -0.1850586, 0.07425, 1.480916, 0.07425, 0.9236641, 0.07425, -4.2671757
0.0095294, -0.0159457, 0.081, 0.0817261, 0.081, -0.999939, 0.081, -0.1802368, 0.081, 1.4351145, 0.081, 0.6564885, 0.081, -4.1145039
