Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 11:36:35
Collection Length (seconds):, 40.5405
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0283665, 0, 0.0206299, 0, -1.0031128, 0, -0.1638184, 0, 2.259542, 0, 2.0839694, 0, -0.8931298
0.0007941, -0.0236667, 0.00675, 0.0143433, 0.00675, -1.0039062, 0.00675, -0.1660156, 0.00675, 2.0839694, 0.00675, 1.6946565, 0.00675, -0.9312977
0.0015882, -0.0157778, 0.0135, 0.0126953, 0.0135, -1.0036011, 0.0135, -0.164856, 0.0135, 2.0152671, 0.0135, 1.4274809, 0.0135, -1
0.0023824, -0.012253, 0.02025, 0.0134888, 0.02025, -1.0018921, 0.02025, -0.1638184, 0.02025, 1.9923664, 0.02025, 1.129771, 0.02025, -1.0839695
0.0031765, -0.008896, 0.027, 0.0177002, 0.027, -1.0054321, 0.027, -0.1681519, 0.027, 2.0458016, 0.027, 0.7099237, 0.027, -1.1526718
0.0039706, -0.0077211, 0.03375, 0.0255737, 0.03375, -1.0062866, 0.03375, -0.1713257, 0.03375, 2.0687022, 0.03375, 0.4580153, 0.03375, -1.1450381
0.0047647, -0.0065461, 0.0405, 0.0299072, 0.0405, -1.0025635, 0.0405, -0.1727295, 0.0405, 2.2748091, 0.0405, 0.8167939, 0.0405, -1.2900764
0.0055588, -0.0065461, 0.04725, 0.0300903, 0.04725, -1.0010986, 0.04725, -0.1687622, 0.04725, 2.3435113, 0.04725, 0.9923664, 0.04725, -1.3969465
0.0063529, -0.005539, 0.054, 0.0264893, 0.054, -1.0032349, 0.054, -0.1668091, 0.054, 2.1832061, 0.054, 1.0305344, 0.054, -1.2442749
0.0071471, -0.0028534, 0.06075, 0.0213013, 0.06075, -1.0015259, 0.06075, -0.1673584, 0.06075, 2.2061069, 0.06075, 0.8931298, 0.06075, -1.4274809
0.0079412, -0.0048676, 0.0675, 0.0219727, 0.0675, -0.9973755, 0.0675, -0.166626, 0.0675, 2.3664122, 0.0675, 0.1603053, 0.0675, -1.3816794
0.0087353, -0.0097353, 0.07425, 0.0250854, 0.07425, -0.9987183, 0.07425, -0.1720581, 0.07425, 2.2824428, 0.07425, -0.2061069, 0.07425, -1.4580153
0.0095294, -0.0083925, 0.081, 0.0345459, 0.081, -1.0001221, 0.081, -0.171814, 0.081, 2.351145, 0.081, -0.0152672, 0.081, -1.4122137
0.0103235, -0.0068818, 0.08775, 0.0333252, 0.08775, -1.0030518, 0.08775, -0.1699829, 0.08775, 2.480916, 0.08775, 0.5725191, 0.08775, -1.4427481
0.0111176, -0.008896, 0.0945, 0.0272827, 0.0945, -1.0048828, 0.0945, -0.1660767, 0.0945, 2.3282442, 0.0945, 0.9389313, 0.0945, -1.3358779
0.0119118, -0.0105745, 0.10125, 0.0230103, 0.10125, -1.0067139, 0.10125, -0.1695557, 0.10125, 2.4732823, 0.10125, 0.6870229, 0.10125, -1.3282443
0.0127059, -0.012253, 0.108, 0.0252686, 0.108, -1.0007324, 0.108, -0.1693726, 0.108, 2.6030533, 0.108, 0.8854962, 0.108, -1.3053435
0.0135, -0.0162814, 0.11475, 0.0285645, 0.11475, -1.0087891, 0.11475, -0.1674194, 0.11475, 2.7709923, 0.11475, 1.0076336, 0.11475, -1.2671756
0.0142941, -0.0196384, 0.1215, 0.0247803, 0.1215, -1.0039062, 0.1215, -0.1674805, 0.1215, 2.7709923, 0.1215, 1, 0.1215, -1.3358779
0.0150882, -0.0203098, 0.12825, 0.0269775, 0.12825, -1.0059814, 0.12825, -0.1646729, 0.12825, 2.480916, 0.12825, 1.0076336, 0.12825, -1.3435115
0.0158824, -0.0164492, 0.135, 0.0262451, 0.135, -1.0101318, 0.135, -0.1660156, 0.135, 2.4885497, 0.135, 1.1984733, 0.135, -1.2442749
0.0166765, -0.0139315, 0.14175, 0.0258789, 0.14175, -1.0079346, 0.14175, -0.1638184, 0.14175, 2.6412213, 0.14175, 1.3358779, 0.14175, -1.3358779
0.0174706, -0.0176242, 0.1485, 0.0219116, 0.1485, -1.012085, 0.1485, -0.1599121, 0.1485, 2.5038168, 0.1485, 1.2977099, 0.1485, -1.2442749
0.0182647, -0.0157778, 0.15525, 0.0228882, 0.15525, -1.0100708, 0.15525, -0.1633301, 0.15525, 2.5801528, 0.15525, 1.2824427, 0.15525, -1.221374
0.0190588, -0.0169528, 0.162, 0.0234985, 0.162, -1.0091553, 0.162, -0.1636353, 0.162, 2.4580152, 0.162, 1.3053435, 0.162, -1.1374046
0.0198529, -0.0119173, 0.16875, 0.0215454, 0.16875, -1.0099487, 0.16875, -0.1608887, 0.16875, 2.4427481, 0.16875, 1.4274809, 0.16875, -1.1908396
0.0206471, -0.0124208, 0.1755, 0.0195923, 0.1755, -1.0054932, 0.1755, -0.1596069, 0.1755, 2.4122138, 0.1755, 1.4274809, 0.1755, -1.3816794
0.0214412, -0.0169528, 0.18225, 0.0227661, 0.18225, -1.0039673, 0.18225, -0.1551514, 0.18225, 2.5038168, 0.18225, 1.5419847, 0.18225, -1.038168
0.0222353, -0.0132601, 0.189, 0.022522, 0.189, -1.0055542, 0.189, -0.1568604, 0.189, 2.5648854, 0.189, 1.4198474, 0.189, -1.1145039
0.0230294, -0.0129244, 0.19575, 0.0169067, 0.19575, -1.0047607, 0.19575, -0.1546021, 0.19575, 2.2977099, 0.19575, 1.5267175, 0.19575, -1.0610687
0.0238235, -0.018967, 0.2025, 0.0150757, 0.2025, -1.0067139, 0.2025, -0.1546631, 0.2025, 2.3587787, 0.2025, 1.3587786, 0.2025, -1.1145039
0.0246176, -0.0203098, 0.20925, 0.0145264, 0.20925, -1.0062256, 0.20925, -0.159729, 0.20925, 2.4351146, 0.20925, 0.8549618, 0.20925, -1.3129771
0.0254118, -0.0196384, 0.216, 0.0134277, 0.216, -1.0080566, 0.216, -0.1604614, 0.216, 2.4274809, 0.216, 0.519084, 0.216, -1.480916
0.0262059, -0.0193027, 0.22275, 0.0149536, 0.22275, -1.0096436, 0.22275, -0.1588745, 0.22275, 2.2977099, 0.22275, 0.519084, 0.22275, -1.6412214
0.027, -0.023331, 0.2295, 0.0137329, 0.2295, -1.0095825, 0.2295, -0.1605835, 0.2295, 2.4198472, 0.2295, 0.389313, 0.2295, -1.5648855
0.0277941, -0.0251774, 0.23625, 0.0153198, 0.23625, -1.0083618, 0.23625, -0.1584473, 0.23625, 2.5267177, 0.23625, 0.480916, 0.23625, -1.6030535
0.0285882, -0.0276951, 0.243, 0.0174561, 0.243, -1.0048828, 0.243, -0.1590576, 0.243, 2.3053436, 0.243, 0.389313, 0.243, -1.4427481
0.0293824, -0.0250095, 0.24975, 0.0181274, 0.24975, -1.0031738, 0.24975, -0.1581421, 0.24975, 2.2900763, 0.24975, 0.3740458, 0.24975, -1.389313
0.0301765, -0.0240024, 0.2565, 0.0236206, 0.2565, -1.0056763, 0.2565, -0.1596069, 0.2565, 2.2442749, 0.2565, 0.4198473, 0.2565, -1.5954199
0.0309706, -0.0263523, 0.26325, 0.0213013, 0.26325, -1.0012817, 0.26325, -0.1588745, 0.26325, 2.221374, 0.26325, 0.6793893, 0.26325, -1.5725191
0.0317647, -0.0263523, 0.27, 0.0172729, 0.27, -1.0044556, 0.27, -0.1567383, 0.27, 2.091603, 0.27, 0.7938932, 0.27, -1.6793894
0.0325588, -0.023331, 0.27675, 0.0145264, 0.27675, -1.0040283, 0.27675, -0.1529541, 0.27675, 2.0687022, 0.27675, 0.7862595, 0.27675, -1.6183206
0.0333529, -0.0182956, 0.2835, 0.0147095, 0.2835, -1.0077515, 0.2835, -0.1516113, 0.2835, 2.1145039, 0.2835, 0.4732825, 0.2835, -1.7938931
0.0341471, -0.0193027, 0.29025, 0.0165405, 0.29025, -1.0032959, 0.29025, -0.1533203, 0.29025, 2.0992367, 0.29025, 0.0992366, 0.29025, -1.8625954
0.0349412, -0.0179599, 0.297, 0.0148926, 0.297, -1.0045776, 0.297, -0.1512451, 0.297, 1.6793894, 0.297, 0.1679389, 0.297, -1.908397
0.0357353, -0.0068818, 0.30375, 0.0092163, 0.30375, -1.005188, 0.30375, -0.1478271, 0.30375, 1.7709924, 0.30375, -0.1832061, 0.30375, -1.8549619
0.0365294, 0.0005035, 0.3105, 0.0108643, 0.3105, -1.0083008, 0.3105, -0.1519775, 0.3105, 1.5572519, 0.3105, -0.2519084, 0.3105, -1.9236641
0.0373235, 0.0011749, 0.31725, 0.012207, 0.31725, -1.0026245, 0.31725, -0.1497192, 0.31725, 1.4503816, 0.31725, -0.5954198, 0.31725, -1.9847329
0.0381176, 0.0011749, 0.324, 0.0107422, 0.324, -1.0004272, 0.324, -0.1499023, 0.324, 1.2442749, 0.324, -0.6717557, 0.324, -2.0839694
0.0389118, 0.0011749, 0.33075, 0.0171509, 0.33075, -1.0032959, 0.33075, -0.1520386, 0.33075, 1.0534351, 0.33075, -0.908397, 0.33075, -2.0076337
0.0397059, 0.0011749, 0.3375, 0.0199585, 0.3375, -1.0073853, 0.3375, -0.1550903, 0.3375, 0.9923664, 0.3375, -0.610687, 0.3375, -1.870229
0.0405, -0.0030213, 0.34425, 0.0195923, 0.34425, -1.0067749, 0.34425, -0.1557617, 0.34425, 1.0763359, 0.34425, -0.5801527, 0.34425, -1.8091604
0.0412941, -0.0050355, 0.351, 0.020813, 0.351, -1.0059204, 0.351, -0.1551514, 0.351, 0.9160305, 0.351, -0.480916, 0.351, -1.8549619
0.0420882, -0.008896, 0.35775, 0.0197754, 0.35775, -1.005249, 0.35775, -0.1615601, 0.35775, 0.9541985, 0.35775, -0.4503817, 0.35775, -1.9541985
0.0428824, -0.011078, 0.3645, 0.0217896, 0.3645, -1.0043335, 0.3645, -0.1619263, 0.3645, 0.7251908, 0.3645, -0.3129771, 0.3645, -1.8549619
0.0436765, -0.0130922, 0.37125, 0.0218506, 0.37125, -1.0060425, 0.37125, -0.1640015, 0.37125, 0.740458, 0.37125, -0.2290076, 0.37125, -1.9160305
0.0444706, -0.0172885, 0.378, 0.0217285, 0.378, -1.0072632, 0.378, -0.1604004, 0.378, 0.5496183, 0.378, -0.2137405, 0.378, -1.8320611
0.0452647, -0.0169528, 0.38475, 0.0200806, 0.38475, -1.0012817, 0.38475, -0.1619263, 0.38475, 0.7175573, 0.38475, -0.1984733, 0.38475, -1.9694656
0.0460588, -0.0176242, 0.3915, 0.0151978, 0.3915, -1.0002441, 0.3915, -0.161499, 0.3915, 0.7862595, 0.3915, -0.2366412, 0.3915, -1.9541985
0.0468529, -0.0223239, 0.39825, 0.0198975, 0.39825, -1.003479, 0.39825, -0.1627808, 0.39825, 0.7557252, 0.39825, -0.221374, 0.39825, -2.038168
0.0476471, -0.0219883, 0.405, 0.0166626, 0.405, -1.0039062, 0.405, -0.161377, 0.405, 0.7251908, 0.405, -0.3435115, 0.405, -1.9465649
0.0484412, -0.023331, 0.41175, 0.015625, 0.41175, -1.0055542, 0.41175, -0.1654663, 0.41175, 0.7175573, 0.41175, -0.2519084, 0.41175, -2.0610688
0.0492353, -0.0238346, 0.4185, 0.0145264, 0.4185, -1.0029907, 0.4185, -0.1625366, 0.4185, 0.8015267, 0.4185, -0.0992366, 0.4185, -1.908397
0.0500294, -0.0218204, 0.42525, 0.0157471, 0.42525, -1.0045166, 0.42525, -0.1627197, 0.42525, 0.8396947, 0.42525, 0.0229008, 0.42525, -1.8931298
