Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 03:02:14
Collection Length (seconds):, 43.794
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0129244, 0, -0.0064697, 0, -1.0048828, 0, -0.1549683, 0, 1.351145, 0, 0.480916, 0, -3.0152671
0.0007941, -0.0068818, 0.00675, -0.0071411, 0.00675, -1.0023193, 0.00675, -0.1522217, 0.00675, 1.4198474, 0.00675, 0.5877863, 0.00675, -2.9770992
0.0015882, -0.0070497, 0.0135, -0.0073853, 0.0135, -1.0058594, 0.0135, -0.1532593, 0.0135, 1.5038168, 0.0135, 0.648855, 0.0135, -2.961832
0.0023824, -0.0125887, 0.02025, -0.0096436, 0.02025, -1.0055542, 0.02025, -0.1539917, 0.02025, 1.3282443, 0.02025, 0.9389313, 0.02025, -3.0229008
0.0031765, -0.0162814, 0.027, -0.0082397, 0.027, -1.0067139, 0.027, -0.152832, 0.027, 1.2061069, 0.027, 1.0687023, 0.027, -3.0992367
0.0039706, -0.0129244, 0.03375, -0.008667, 0.03375, -1.0065308, 0.03375, -0.1533203, 0.03375, 1.1908396, 0.03375, 0.9847328, 0.03375, -3.259542
0.0047647, -0.0082246, 0.0405, -0.0130615, 0.0405, -1.005127, 0.0405, -0.15271, 0.0405, 1.1832061, 0.0405, 0.8167939, 0.0405, -3.0992367
0.0055588, -0.014435, 0.04725, -0.013855, 0.04725, -1.0075684, 0.04725, -0.1549072, 0.04725, 1.1603054, 0.04725, 0.7862595, 0.04725, -3.0610688
0.0063529, -0.0176242, 0.054, -0.0112305, 0.054, -1.0075684, 0.054, -0.151062, 0.054, 1.2442749, 0.054, 0.6564885, 0.054, -2.961832
0.0071471, -0.0172885, 0.06075, -0.0071411, 0.06075, -1.0064087, 0.06075, -0.1507568, 0.06075, 1.2900764, 0.06075, 0.778626, 0.06075, -3.1526718
0.0079412, -0.0176242, 0.0675, -0.0070801, 0.0675, -1.0074463, 0.0675, -0.1508179, 0.0675, 1.0229008, 0.0675, 0.6946565, 0.0675, -3.0992367
0.0087353, -0.0169528, 0.07425, -0.0084839, 0.07425, -1.0093994, 0.07425, -0.1513062, 0.07425, 1.0458015, 0.07425, 0.7175573, 0.07425, -3.0839694
0.0095294, -0.0137636, 0.081, -0.0077515, 0.081, -1.0047607, 0.081, -0.1508179, 0.081, 1.1450381, 0.081, 0.8396947, 0.081, -3.0458016
0.0103235, -0.01561, 0.08775, -0.0097656, 0.08775, -1.0068359, 0.08775, -0.1524658, 0.08775, 1.221374, 0.08775, 0.9236641, 0.08775, -3.1374047
0.0111176, -0.0142672, 0.0945, -0.0061646, 0.0945, -1.0060425, 0.0945, -0.1551514, 0.0945, 1.1221374, 0.0945, 0.8091603, 0.0945, -3.038168
0.0119118, -0.0129244, 0.10125, -0.0081177, 0.10125, -1.0066528, 0.10125, -0.1526489, 0.10125, 1.2442749, 0.10125, 0.6793893, 0.10125, -2.9923663
0.0127059, -0.0102388, 0.108, -0.0075073, 0.108, -1.0064087, 0.108, -0.1523438, 0.108, 1.1221374, 0.108, 0.6412213, 0.108, -3.0687022
0.0135, -0.0112459, 0.11475, -0.0116577, 0.11475, -1.0087891, 0.11475, -0.1556396, 0.11475, 1.0992366, 0.11475, 0.6030535, 0.11475, -3.1450381
0.0142941, -0.012253, 0.1215, -0.0089722, 0.1215, -1.0054932, 0.1215, -0.1564331, 0.1215, 1.0534351, 0.1215, 0.5954198, 0.1215, -3.0992367
0.0150882, -0.0115816, 0.12825, -0.0082397, 0.12825, -1.0045776, 0.12825, -0.15625, 0.12825, 1.1755725, 0.12825, 0.4274809, 0.12825, -3.0534351
0.0158824, -0.0078889, 0.135, -0.0074463, 0.135, -1.0032959, 0.135, -0.1554565, 0.135, 1.2137405, 0.135, 0.5496183, 0.135, -3.1679389
0.0166765, -0.0070497, 0.14175, -0.0068359, 0.14175, -1.0048828, 0.14175, -0.1546021, 0.14175, 1.1450381, 0.14175, 0.6030535, 0.14175, -3.259542
0.0174706, -0.0119173, 0.1485, -0.007019, 0.1485, -1.0061646, 0.1485, -0.1538086, 0.1485, 1.2824427, 0.1485, 0.8320611, 0.1485, -3.0534351
0.0182647, -0.012253, 0.15525, -0.0096436, 0.15525, -1.0073853, 0.15525, -0.1552734, 0.15525, 1.2900764, 0.15525, 0.8473282, 0.15525, -2.8854961
0.0190588, -0.0146029, 0.162, -0.0090332, 0.162, -1.0054932, 0.162, -0.1535645, 0.162, 1.1526718, 0.162, 0.8854962, 0.162, -2.9923663
0.0198529, -0.0182956, 0.16875, -0.0084229, 0.16875, -1.0085449, 0.16875, -0.1519165, 0.16875, 1.3206106, 0.16875, 0.8320611, 0.16875, -3.0152671
0.0206471, -0.0219883, 0.1755, -0.0109253, 0.1755, -1.0077515, 0.1755, -0.1557617, 0.1755, 1.1450381, 0.1755, 0.8015267, 0.1755, -3.0305343
0.0214412, -0.0243381, 0.18225, -0.0092773, 0.18225, -1.0092773, 0.18225, -0.1513062, 0.18225, 1.1832061, 0.18225, 0.7862595, 0.18225, -3.129771
0.0222353, -0.0253452, 0.189, -0.0083618, 0.189, -1.0053711, 0.189, -0.1512451, 0.189, 1.3740458, 0.189, 0.8396947, 0.189, -3.1984732
0.0230294, -0.0250095, 0.19575, -0.0077515, 0.19575, -1.0057983, 0.19575, -0.1522217, 0.19575, 1.2442749, 0.19575, 0.9465649, 0.19575, -3.091603
0.0238235, -0.0229953, 0.2025, -0.0093384, 0.2025, -1.0067749, 0.2025, -0.1512451, 0.2025, 1.3435115, 0.2025, 0.870229, 0.2025, -3.038168
0.0246176, -0.0243381, 0.20925, -0.0103149, 0.20925, -1.0072632, 0.20925, -0.1525879, 0.20925, 1.2366412, 0.20925, 0.8320611, 0.20925, -3.1755726
0.0254118, -0.0256809, 0.216, -0.0108032, 0.216, -1.0048218, 0.216, -0.1536865, 0.216, 1.3435115, 0.216, 0.6412213, 0.216, -3.1679389
0.0262059, -0.0240024, 0.22275, -0.0087891, 0.22275, -1.0061035, 0.22275, -0.1543579, 0.22275, 1.2900764, 0.22275, 0.5877863, 0.22275, -2.961832
0.027, -0.0219883, 0.2295, -0.0084839, 0.2295, -1.0073853, 0.2295, -0.1557007, 0.2295, 1.221374, 0.2295, 0.7022901, 0.2295, -3.1679389
0.0277941, -0.018967, 0.23625, -0.0085449, 0.23625, -1.0083618, 0.23625, -0.1553345, 0.23625, 1.3129771, 0.23625, 0.870229, 0.23625, -3.1832061
0.0285882, -0.0149386, 0.243, -0.0053101, 0.243, -1.0064087, 0.243, -0.15625, 0.243, 1.221374, 0.243, 0.9770992, 0.243, -3.2061069
0.0293824, -0.0146029, 0.24975, -0.0041504, 0.24975, -1.0075073, 0.24975, -0.1539917, 0.24975, 1.389313, 0.24975, 1.129771, 0.24975, -3.1526718
0.0301765, -0.0095674, 0.2565, -0.0068359, 0.2565, -1.0026245, 0.2565, -0.1516724, 0.2565, 1.259542, 0.2565, 1.2671756, 0.2565, -3.0458016
0.0309706, -0.0085603, 0.26325, -0.0108643, 0.26325, -1.0038452, 0.26325, -0.1535034, 0.26325, 1.3435115, 0.26325, 1.3129771, 0.26325, -3.0763359
0.0317647, -0.0083925, 0.27, -0.0105591, 0.27, -1.0040894, 0.27, -0.1541748, 0.27, 1.4351145, 0.27, 1.038168, 0.27, -3.1832061
0.0325588, -0.005539, 0.27675, -0.0109253, 0.27675, -1.0048218, 0.27675, -0.1514282, 0.27675, 1.2137405, 0.27675, 1.0229008, 0.27675, -3.2290077
0.0333529, -0.005539, 0.2835, -0.0078735, 0.2835, -1.0038452, 0.2835, -0.1515503, 0.2835, 1.389313, 0.2835, 0.8549618, 0.2835, -3.0534351
