Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 11:59:02
Collection Length (seconds):, 40.122
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0085603, 0, -0.0717163, 0, -0.9907227, 0, -0.2380371, 0, 2.2061069, 0, 0.9694657, 0, -3.740458
0.0007941, -0.0031891, 0.00675, -0.0699463, 0.00675, -0.9940186, 0.00675, -0.2362061, 0.00675, 2.0763359, 0.00675, 1.2977099, 0.00675, -3.7862597
0.0015882, -0.0095674, 0.0135, -0.0707397, 0.0135, -0.9935913, 0.0135, -0.2363892, 0.0135, 1.908397, 0.0135, 1.129771, 0.0135, -3.8091602
0.0023824, -0.0129244, 0.02025, -0.071106, 0.02025, -0.9943848, 0.02025, -0.2359619, 0.02025, 1.8244275, 0.02025, 0.9847328, 0.02025, -3.9007633
0.0031765, -0.0157778, 0.027, -0.0725708, 0.027, -0.9945068, 0.027, -0.2354126, 0.027, 1.8854961, 0.027, 0.908397, 0.027, -3.8167939
0.0039706, -0.0203098, 0.03375, -0.0714111, 0.03375, -0.9952393, 0.03375, -0.2351074, 0.03375, 1.908397, 0.03375, 0.778626, 0.03375, -3.778626
0.0047647, -0.0216526, 0.0405, -0.0701294, 0.0405, -0.9900513, 0.0405, -0.237793, 0.0405, 1.7862595, 0.0405, 0.5877863, 0.0405, -3.8854961
0.0055588, -0.0203098, 0.04725, -0.0678711, 0.04725, -0.9909058, 0.04725, -0.2384033, 0.04725, 1.9541985, 0.04725, 0.389313, 0.04725, -3.908397
0.0063529, -0.0157778, 0.054, -0.0670166, 0.054, -0.9908447, 0.054, -0.2365723, 0.054, 1.9694656, 0.054, 0.5725191, 0.054, -3.8778627
0.0071471, -0.0142672, 0.06075, -0.0653076, 0.06075, -0.9900513, 0.06075, -0.2374268, 0.06075, 2.0992367, 0.06075, 0.5801527, 0.06075, -3.7175572
0.0079412, -0.0135958, 0.0675, -0.0641479, 0.0675, -0.9943237, 0.0675, -0.2367554, 0.0675, 1.961832, 0.0675, 0.4351145, 0.0675, -3.740458
0.0087353, -0.0196384, 0.07425, -0.0654297, 0.07425, -0.9938965, 0.07425, -0.2354126, 0.07425, 1.9541985, 0.07425, 0.4580153, 0.07425, -3.7480917
0.0095294, -0.0240024, 0.081, -0.0653076, 0.081, -0.9958496, 0.081, -0.2376099, 0.081, 1.8015267, 0.081, 0.3587786, 0.081, -3.519084
0.0103235, -0.0203098, 0.08775, -0.0666504, 0.08775, -0.994812, 0.08775, -0.2364502, 0.08775, 1.961832, 0.08775, 0.5725191, 0.08775, -3.6870229
0.0111176, -0.0204776, 0.0945, -0.0651855, 0.0945, -0.9923096, 0.0945, -0.236084, 0.0945, 1.870229, 0.0945, 0.6870229, 0.0945, -3.6335878
0.0119118, -0.0169528, 0.10125, -0.0646362, 0.10125, -0.9928589, 0.10125, -0.2350464, 0.10125, 1.5419847, 0.10125, 0.8396947, 0.10125, -3.5343511
0.0127059, -0.0169528, 0.108, -0.0656738, 0.108, -0.9937134, 0.108, -0.2312622, 0.108, 1.6412214, 0.108, 0.9694657, 0.108, -3.6030533
0.0135, -0.0166171, 0.11475, -0.0627441, 0.11475, -0.9902954, 0.11475, -0.2330933, 0.11475, 1.5801526, 0.11475, 1.091603, 0.11475, -3.5038168
0.0142941, -0.0162814, 0.1215, -0.0673828, 0.1215, -0.9936523, 0.1215, -0.2376099, 0.1215, 1.4503816, 0.1215, 1.0763359, 0.1215, -3.3816793
0.0150882, -0.0162814, 0.12825, -0.0631714, 0.12825, -0.9926147, 0.12825, -0.2380371, 0.12825, 1.3587786, 0.12825, 0.9541985, 0.12825, -3.4961832
0.0158824, -0.0142672, 0.135, -0.0680542, 0.135, -0.9925537, 0.135, -0.2357788, 0.135, 1.351145, 0.135, 1.0534351, 0.135, -3.5877862
0.0166765, -0.0142672, 0.14175, -0.0673828, 0.14175, -0.9927979, 0.14175, -0.2324829, 0.14175, 1.1526718, 0.14175, 0.9847328, 0.14175, -3.5267177
0.0174706, -0.0104067, 0.1485, -0.0645752, 0.1485, -0.9907227, 0.1485, -0.2321777, 0.1485, 0.8473282, 0.1485, 0.8625954, 0.1485, -3.648855
0.0182647, -0.0083925, 0.15525, -0.0661621, 0.15525, -0.993042, 0.15525, -0.2364502, 0.15525, 0.6641222, 0.15525, 1.1908396, 0.15525, -3.5572519
0.0190588, -0.011078, 0.162, -0.0662842, 0.162, -0.9919434, 0.162, -0.2338257, 0.162, 0.8625954, 0.162, 0.9160305, 0.162, -3.3587787
0.0198529, -0.0082246, 0.16875, -0.0663452, 0.16875, -0.9929199, 0.16875, -0.2328491, 0.16875, 0.908397, 0.16875, 0.9694657, 0.16875, -3.4198472
0.0206471, -0.0062104, 0.1755, -0.0675049, 0.1755, -0.9937134, 0.1755, -0.2335205, 0.1755, 0.9923664, 0.1755, 1, 0.1755, -3.2748091
0.0214412, -0.0102388, 0.18225, -0.0678711, 0.18225, -0.9911499, 0.18225, -0.2373657, 0.18225, 0.9312977, 0.18225, 0.8396947, 0.18225, -3.2977099
0.0222353, -0.0149386, 0.189, -0.0700073, 0.189, -0.9925537, 0.189, -0.236145, 0.189, 0.740458, 0.189, 0.5954198, 0.189, -3.5038168
0.0230294, -0.0151064, 0.19575, -0.0668945, 0.19575, -0.9983521, 0.19575, -0.2383423, 0.19575, 1.038168, 0.19575, 0.5038168, 0.19575, -3.5877862
0.0238235, -0.0119173, 0.2025, -0.0640869, 0.2025, -0.9957275, 0.2025, -0.2383423, 0.2025, 0.9236641, 0.2025, 0.4274809, 0.2025, -3.5343511
0.0246176, -0.0146029, 0.20925, -0.0645142, 0.20925, -0.9946289, 0.20925, -0.2385864, 0.20925, 1.0839695, 0.20925, 0.3740458, 0.20925, -3.6641221
0.0254118, -0.018967, 0.216, -0.0638428, 0.216, -0.9958496, 0.216, -0.2423706, 0.216, 1.1755725, 0.216, 0.4732825, 0.216, -3.519084
0.0262059, -0.0176242, 0.22275, -0.0614624, 0.22275, -0.9970703, 0.22275, -0.2431641, 0.22275, 1.0763359, 0.22275, 0.6870229, 0.22275, -3.1908398
0.027, -0.0179599, 0.2295, -0.0628662, 0.2295, -0.9924316, 0.2295, -0.2429199, 0.2295, 1.1832061, 0.2295, 0.8931298, 0.2295, -3.3282442
0.0277941, -0.0196384, 0.23625, -0.0655518, 0.23625, -0.9927368, 0.23625, -0.2402954, 0.23625, 0.9770992, 0.23625, 0.9770992, 0.23625, -3.1908398
0.0285882, -0.0166171, 0.243, -0.0690308, 0.243, -0.9945679, 0.243, -0.2390137, 0.243, 1.129771, 0.243, 0.9007633, 0.243, -3.3053436
0.0293824, -0.0142672, 0.24975, -0.0668945, 0.24975, -0.9935303, 0.24975, -0.2388916, 0.24975, 1.1984733, 0.24975, 0.8625954, 0.24975, -3.3740458
0.0301765, -0.0182956, 0.2565, -0.067688, 0.2565, -0.9934082, 0.2565, -0.2393799, 0.2565, 0.8396947, 0.2565, 0.8854962, 0.2565, -3.2442749
0.0309706, -0.0142672, 0.26325, -0.0637207, 0.26325, -0.9923096, 0.26325, -0.2391968, 0.26325, 0.7175573, 0.26325, 0.8320611, 0.26325, -3.351145
0.0317647, -0.012253, 0.27, -0.0653076, 0.27, -0.9909668, 0.27, -0.2406616, 0.27, 0.5801527, 0.27, 0.9465649, 0.27, -3.4580152
0.0325588, -0.0142672, 0.27675, -0.0724487, 0.27675, -0.9886475, 0.27675, -0.2366943, 0.27675, 0.610687, 0.27675, 1.1221374, 0.27675, -3.2061069
0.0333529, -0.0149386, 0.2835, -0.0679932, 0.2835, -0.9953003, 0.2835, -0.241394, 0.2835, 0.5801527, 0.2835, 1.1221374, 0.2835, -3.3664122
0.0341471, -0.0109102, 0.29025, -0.0700073, 0.29025, -0.9918213, 0.29025, -0.2389526, 0.29025, 0.4122137, 0.29025, 1.2900764, 0.29025, -3.3435113
0.0349412, -0.0058747, 0.297, -0.064209, 0.297, -0.9901733, 0.297, -0.2376099, 0.297, 0.5496183, 0.297, 1.0763359, 0.297, -3.3206108
0.0357353, -0.0075532, 0.30375, -0.0669556, 0.30375, -0.991272, 0.30375, -0.237793, 0.30375, 0.6870229, 0.30375, 0.778626, 0.30375, -3.3358779
0.0365294, -0.0129244, 0.3105, -0.0655518, 0.3105, -0.992981, 0.3105, -0.2374878, 0.3105, 0.5725191, 0.3105, 1.091603, 0.3105, -3.351145
0.0373235, -0.0135958, 0.31725, -0.0646973, 0.31725, -0.9924927, 0.31725, -0.2393799, 0.31725, 0.9541985, 0.31725, 1.3435115, 0.31725, -3.1603053
0.0381176, -0.0112459, 0.324, -0.0585327, 0.324, -0.9927979, 0.324, -0.2401123, 0.324, 0.7328244, 0.324, 1.4122137, 0.324, -3.129771
0.0389118, -0.0142672, 0.33075, -0.0583496, 0.33075, -0.9931641, 0.33075, -0.2398071, 0.33075, 0.8549618, 0.33075, 1.5267175, 0.33075, -3.0076337
0.0397059, -0.0095674, 0.3375, -0.0628662, 0.3375, -0.9934692, 0.3375, -0.2424927, 0.3375, 0.7099237, 0.3375, 1.5725191, 0.3375, -3.1603053
0.0405, -0.0085603, 0.34425, -0.0632324, 0.34425, -0.9909058, 0.34425, -0.2411499, 0.34425, 0.740458, 0.34425, 1.5954199, 0.34425, -3.0534351
0.0412941, -0.0229953, 0.351, -0.0654907, 0.351, -0.9954224, 0.351, -0.2404785, 0.351, 0.5343512, 0.351, 1.3587786, 0.351, -3.1068702
0.0420882, -0.0258488, 0.35775, -0.0679932, 0.35775, -0.9957275, 0.35775, -0.2371216, 0.35775, 0.5572519, 0.35775, 1.3358779, 0.35775, -3.1068702
0.0428824, -0.0179599, 0.3645, -0.0690308, 0.3645, -0.9935303, 0.3645, -0.2377319, 0.3645, 0.4274809, 0.3645, 1.2977099, 0.3645, -3.1068702
