Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 12:02:25
Collection Length (seconds):, 42.1335
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0041962, 0, -0.0649414, 0, -0.9872437, 0, -0.3046875, 0, 5.4885497, 0, -27.2442741, 0, -11.519084
0.0007941, -0.0041962, 0.00675, -0.0830688, 0.00675, -0.977356, 0.00675, -0.293457, 0.00675, 6.0458016, 0.00675, -29.1068707, 0.00675, -12.5725193
0.0015882, -0.0092317, 0.0135, -0.1085205, 0.0135, -0.9783936, 0.0135, -0.2919312, 0.0135, 8.717557, 0.0135, -32.2061081, 0.0135, -14.320611
0.0023824, -0.0159457, 0.02025, -0.1105347, 0.02025, -1.0327759, 0.02025, -0.2466431, 0.02025, 12.7786255, 0.02025, -38.67939, 0.02025, -17.0687027
0.0031765, -0.0172885, 0.027, -0.1530762, 0.027, -1.0709229, 0.027, -0.2329102, 0.027, 13.7022905, 0.027, -40.7633591, 0.027, -19.9694653
0.0039706, -0.018967, 0.03375, -0.1603394, 0.03375, -1.0836182, 0.03375, -0.2102661, 0.03375, 17.4961834, 0.03375, -46.717556, 0.03375, -22.9770985
0.0047647, -0.0256809, 0.0405, -0.218811, 0.0405, -1.0819092, 0.0405, -0.2009277, 0.0405, 18.5954189, 0.0405, -59.2213745, 0.0405, -25.4045811
0.0055588, -0.023331, 0.04725, -0.1619263, 0.04725, -1.0040283, 0.04725, -0.3286133, 0.04725, 14.3053436, 0.04725, -60.7251892, 0.04725, -26.2290077
0.0063529, -0.0193027, 0.054, -0.1203003, 0.054, -0.9941406, 0.054, -0.3277588, 0.054, 12.4351149, 0.054, -61.5648842, 0.054, -26.4274807
0.0071471, -0.0199741, 0.06075, -0.0958862, 0.06075, -0.9844971, 0.06075, -0.3505859, 0.06075, 11.2519083, 0.06075, -60.5648842, 0.06075, -26.5648861
0.0079412, -0.0199741, 0.0675, -0.0058594, 0.0675, -0.9615479, 0.0675, -0.4163208, 0.0675, 9.6106873, 0.0675, -57.2595406, 0.0675, -26.0152664
0.0087353, -0.0203098, 0.07425, -0.0018921, 0.07425, -0.9981689, 0.07425, -0.3627319, 0.07425, 8.6870232, 0.07425, -49.1908379, 0.07425, -23.8320618
0.0095294, -0.0142672, 0.081, 0.0315552, 0.081, -0.9925537, 0.081, -0.3348389, 0.081, 9.2671757, 0.081, -42.7480927, 0.081, -21.603054
0.0103235, -0.0152743, 0.08775, 0.0773315, 0.08775, -0.9770508, 0.08775, -0.3196411, 0.08775, 8.7022905, 0.08775, -36.2213745, 0.08775, -19.6335869
0.0111176, -0.0139315, 0.0945, 0.0892944, 0.0945, -0.9700317, 0.0945, -0.3339233, 0.0945, 12.160305, 0.0945, -40.961834, 0.0945, -18.2366409
0.0119118, -0.0109102, 0.10125, 0.050354, 0.10125, -0.9819336, 0.10125, -0.3504639, 0.10125, 8.198473, 0.10125, -27.8931293, 0.10125, -15.7099237
