Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 09:52:24
Collection Length (seconds):, 40.338
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0157778, 0, -0.041748, 0, -1.0078125, 0, -0.1564941, 0, 1.0305344, 0, 0.5954198, 0, -3.3664122
0.0007941, -0.0130922, 0.00675, -0.0396118, 0.00675, -1.005249, 0.00675, -0.1569214, 0.00675, 1.0152671, 0.00675, 0.6717557, 0.00675, -3.2366412
0.0015882, -0.0135958, 0.0135, -0.0389404, 0.0135, -1.005188, 0.0135, -0.1558228, 0.0135, 1.1068702, 0.0135, 0.7022901, 0.0135, -3.1374047
0.0023824, -0.0151064, 0.02025, -0.0380249, 0.02025, -1.005127, 0.02025, -0.1564331, 0.02025, 1.1526718, 0.02025, 0.4122137, 0.02025, -3.3282442
0.0031765, -0.0142672, 0.027, -0.0359497, 0.027, -1.0047607, 0.027, -0.1557617, 0.027, 1.3206106, 0.027, 0.4732825, 0.027, -3.1832061
0.0039706, -0.0082246, 0.03375, -0.0393066, 0.03375, -1.0043945, 0.03375, -0.1558838, 0.03375, 1.2366412, 0.03375, 0.6259542, 0.03375, -3.221374
0.0047647, -0.0109102, 0.0405, -0.0407104, 0.0405, -1.006958, 0.0405, -0.1575317, 0.0405, 1.1145039, 0.0405, 0.5801527, 0.0405, -3.2137403
0.0055588, -0.0119173, 0.04725, -0.0371094, 0.04725, -1.0067139, 0.04725, -0.1549072, 0.04725, 1.2137405, 0.04725, 0.5725191, 0.04725, -3.3816793
0.0063529, -0.0085603, 0.054, -0.0371094, 0.054, -1.0029297, 0.054, -0.1532593, 0.054, 1.221374, 0.054, 0.480916, 0.054, -3.2442749
0.0071471, -0.0082246, 0.06075, -0.0388184, 0.06075, -1.0029297, 0.06075, -0.1552124, 0.06075, 1.1221374, 0.06075, 0.6183206, 0.06075, -3.2900763
0.0079412, -0.008896, 0.0675, -0.0386353, 0.0675, -1.0061646, 0.0675, -0.1544189, 0.0675, 1.2824427, 0.0675, 0.6564885, 0.0675, -3.221374
0.0087353, -0.0083925, 0.07425, -0.0371704, 0.07425, -1.0037842, 0.07425, -0.1535645, 0.07425, 1.0610687, 0.07425, 0.7633588, 0.07425, -3.1679389
0.0095294, -0.0102388, 0.081, -0.0371704, 0.081, -1.0019531, 0.081, -0.1533203, 0.081, 1.1221374, 0.081, 0.7099237, 0.081, -3.2290077
0.0103235, -0.0082246, 0.08775, -0.0391235, 0.08775, -1.0039673, 0.08775, -0.1563721, 0.08775, 1.1984733, 0.08775, 0.6717557, 0.08775, -3.3206108
0.0111176, -0.0070497, 0.0945, -0.0390625, 0.0945, -1.0024414, 0.0945, -0.1575928, 0.0945, 1.1908396, 0.0945, 0.778626, 0.0945, -3.2519083
0.0119118, -0.008896, 0.10125, -0.0396729, 0.10125, -1.0015259, 0.10125, -0.1558838, 0.10125, 1.0839695, 0.10125, 0.6335878, 0.10125, -3.3129771
0.0127059, -0.0132601, 0.108, -0.0408325, 0.108, -1.0025635, 0.108, -0.1552124, 0.108, 1.0839695, 0.108, 0.648855, 0.108, -3.1679389
0.0135, -0.0135958, 0.11475, -0.039978, 0.11475, -1.0054321, 0.11475, -0.1561279, 0.11475, 1.0229008, 0.11475, 0.6793893, 0.11475, -3.2671757
0.0142941, -0.0139315, 0.1215, -0.0396729, 0.1215, -1.0043945, 0.1215, -0.1573486, 0.1215, 1.1450381, 0.1215, 0.6030535, 0.1215, -3.2671757
0.0150882, -0.0159457, 0.12825, -0.0412598, 0.12825, -1.00177, 0.12825, -0.1570435, 0.12825, 1.1145039, 0.12825, 0.7022901, 0.12825, -3.4885497
0.0158824, -0.0172885, 0.135, -0.0415039, 0.135, -1.0027466, 0.135, -0.1516724, 0.135, 1.129771, 0.135, 0.7175573, 0.135, -3.4122138
0.0166765, -0.0169528, 0.14175, -0.0404053, 0.14175, -1.0021973, 0.14175, -0.1539917, 0.14175, 1.0458015, 0.14175, 0.7709923, 0.14175, -3.2519083
0.0174706, -0.0172885, 0.1485, -0.0411377, 0.1485, -1.0044556, 0.1485, -0.1524048, 0.1485, 1.3664122, 0.1485, 0.7938932, 0.1485, -3.3435113
0.0182647, -0.0176242, 0.15525, -0.0407715, 0.15525, -1.0049438, 0.15525, -0.1531372, 0.15525, 1.1984733, 0.15525, 0.7022901, 0.15525, -3.3664122
0.0190588, -0.0130922, 0.162, -0.038269, 0.162, -1.0053101, 0.162, -0.15271, 0.162, 1.2671756, 0.162, 0.8167939, 0.162, -3.3435113
0.0198529, -0.0149386, 0.16875, -0.0385742, 0.16875, -1.0070801, 0.16875, -0.1553345, 0.16875, 1.2519084, 0.16875, 0.8854962, 0.16875, -3.3129771
0.0206471, -0.0159457, 0.1755, -0.0371704, 0.1755, -1.0075073, 0.1755, -0.1564941, 0.1755, 1.2519084, 0.1755, 1.0687023, 0.1755, -3.351145
0.0214412, -0.0151064, 0.18225, -0.0402832, 0.18225, -1.0030518, 0.18225, -0.1576538, 0.18225, 1.1755725, 0.18225, 0.8396947, 0.18225, -3.2824428
0.0222353, -0.0179599, 0.189, -0.0443726, 0.189, -1.0031738, 0.189, -0.1559448, 0.189, 1.1755725, 0.189, 0.8015267, 0.189, -3.3435113
0.0230294, -0.018967, 0.19575, -0.039917, 0.19575, -1.0048828, 0.19575, -0.1565552, 0.19575, 1.2671756, 0.19575, 0.9541985, 0.19575, -3.4732823
0.0238235, -0.0172885, 0.2025, -0.0418091, 0.2025, -1.0055542, 0.2025, -0.1558228, 0.2025, 1.221374, 0.2025, 0.5496183, 0.2025, -3.3816793
0.0246176, -0.0166171, 0.20925, -0.0447998, 0.20925, -1.0036621, 0.20925, -0.1558838, 0.20925, 1.2519084, 0.20925, 0.4885496, 0.20925, -3.4732823
0.0254118, -0.01561, 0.216, -0.0424194, 0.216, -1.00354, 0.216, -0.1550903, 0.216, 1.3664122, 0.216, 0.259542, 0.216, -3.4198472
0.0262059, -0.0139315, 0.22275, -0.0370483, 0.22275, -1.0053101, 0.22275, -0.1571045, 0.22275, 1.3282443, 0.22275, 0.1221374, 0.22275, -3.5267177
0.027, -0.01561, 0.2295, -0.0371094, 0.2295, -1.0060425, 0.2295, -0.151001, 0.2295, 1.3587786, 0.2295, 0.129771, 0.2295, -3.4885497
0.0277941, -0.0166171, 0.23625, -0.0395508, 0.23625, -1.0031738, 0.23625, -0.1503906, 0.23625, 1.1374046, 0.23625, 0.3358779, 0.23625, -3.3740458
0.0285882, -0.01561, 0.243, -0.0415039, 0.243, -1.0029907, 0.243, -0.1483765, 0.243, 1.4351145, 0.243, 0.5343512, 0.243, -3.4885497
0.0293824, -0.0169528, 0.24975, -0.041687, 0.24975, -1.0021362, 0.24975, -0.1504517, 0.24975, 1.351145, 0.24975, 0.778626, 0.24975, -3.4961832
0.0301765, -0.018967, 0.2565, -0.0408936, 0.2565, -1.005127, 0.2565, -0.1516724, 0.2565, 1.2366412, 0.2565, 0.7557252, 0.2565, -3.3664122
0.0309706, -0.0199741, 0.26325, -0.0385742, 0.26325, -1.0062866, 0.26325, -0.1480713, 0.26325, 1.2290076, 0.26325, 0.740458, 0.26325, -3.3816793
0.0317647, -0.0216526, 0.27, -0.0361328, 0.27, -1.0061646, 0.27, -0.1491089, 0.27, 1.2137405, 0.27, 0.9541985, 0.27, -3.2824428
0.0325588, -0.0151064, 0.27675, -0.0373535, 0.27675, -1.0028687, 0.27675, -0.1528931, 0.27675, 1.0763359, 0.27675, 1.1603054, 0.27675, -3.1145039
0.0333529, -0.0157778, 0.2835, -0.0371704, 0.2835, -1.0020142, 0.2835, -0.1521606, 0.2835, 1.0458015, 0.2835, 1.1603054, 0.2835, -3.1984732
0.0341471, -0.0164492, 0.29025, -0.0354004, 0.29025, -1.003479, 0.29025, -0.1524658, 0.29025, 1.0610687, 0.29025, 0.9694657, 0.29025, -3.2366412
0.0349412, -0.0149386, 0.297, -0.0380859, 0.297, -1.0073853, 0.297, -0.1516113, 0.297, 1.0763359, 0.297, 1.0305344, 0.297, -3.4656489
0.0357353, -0.0172885, 0.30375, -0.0367432, 0.30375, -1.0056763, 0.30375, -0.1540527, 0.30375, 1.0229008, 0.30375, 0.6564885, 0.30375, -3.1755726
0.0365294, -0.0149386, 0.3105, -0.0374756, 0.3105, -1.0043945, 0.3105, -0.1531982, 0.3105, 0.9465649, 0.3105, 0.5343512, 0.3105, -3.2977099
0.0373235, -0.0132601, 0.31725, -0.0352783, 0.31725, -1.0043945, 0.31725, -0.154541, 0.31725, 0.9312977, 0.31725, 0.4961832, 0.31725, -3.3129771
0.0381176, -0.012253, 0.324, -0.0363159, 0.324, -1.0056152, 0.324, -0.1513062, 0.324, 1.0076336, 0.324, 0.3053435, 0.324, -3.2824428
0.0389118, -0.0105745, 0.33075, -0.0375366, 0.33075, -1.0054321, 0.33075, -0.1498413, 0.33075, 0.8091603, 0.33075, 0.3206107, 0.33075, -3.1374047
0.0397059, -0.0132601, 0.3375, -0.0377808, 0.3375, -1.0057983, 0.3375, -0.152832, 0.3375, 0.778626, 0.3375, 0.4885496, 0.3375, -3.1603053
0.0405, -0.0149386, 0.34425, -0.0360107, 0.34425, -1.0056152, 0.34425, -0.1508789, 0.34425, 0.9236641, 0.34425, 0.8473282, 0.34425, -3.3282442
0.0412941, -0.0130922, 0.351, -0.0362549, 0.351, -1.003479, 0.351, -0.1485596, 0.351, 0.7328244, 0.351, 0.9465649, 0.351, -3.0687022
0.0420882, -0.0135958, 0.35775, -0.0374756, 0.35775, -1.0021973, 0.35775, -0.1513672, 0.35775, 0.8320611, 0.35775, 0.9694657, 0.35775, -3.0305343
0.0428824, -0.0162814, 0.3645, -0.0388184, 0.3645, -1.0039673, 0.3645, -0.1516724, 0.3645, 0.6183206, 0.3645, 1.0534351, 0.3645, -3.0458016
0.0436765, -0.0151064, 0.37125, -0.0404053, 0.37125, -1.0048218, 0.37125, -0.1525879, 0.37125, 0.8167939, 0.37125, 1.0229008, 0.37125, -2.9389312
0.0444706, -0.0137636, 0.378, -0.0394287, 0.378, -1.003479, 0.378, -0.15271, 0.378, 0.7328244, 0.378, 0.9541985, 0.378, -3.129771
0.0452647, -0.0142672, 0.38475, -0.0386353, 0.38475, -1.0026855, 0.38475, -0.154541, 0.38475, 0.8549618, 0.38475, 0.8549618, 0.38475, -3.1832061
