Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 10:15:30
Collection Length (seconds):, 41.769
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0164492, 0, -0.0580444, 0, -1.0004883, 0, -0.1989746, 0, 1.1603054, 0, 0.6793893, 0, -3.2442749
0.0007941, -0.014435, 0.00675, -0.057312, 0.00675, -0.9993896, 0.00675, -0.2015381, 0.00675, 1.0152671, 0.00675, 0.5877863, 0.00675, -3.2977099
0.0015882, -0.012253, 0.0135, -0.0577393, 0.0135, -0.9990234, 0.0135, -0.1993408, 0.0135, 1.1755725, 0.0135, 0.6259542, 0.0135, -3.2748091
0.0023824, -0.0157778, 0.02025, -0.0582886, 0.02025, -1.0012207, 0.02025, -0.2005615, 0.02025, 0.9694657, 0.02025, 0.610687, 0.02025, -3.1832061
0.0031765, -0.0154421, 0.027, -0.0549316, 0.027, -1.0010376, 0.027, -0.1989746, 0.027, 0.9847328, 0.027, 0.5114504, 0.027, -3.1374047
0.0039706, -0.0142672, 0.03375, -0.0584106, 0.03375, -1.0004272, 0.03375, -0.2005005, 0.03375, 1.0305344, 0.03375, 0.351145, 0.03375, -3.3053436
0.0047647, -0.0115816, 0.0405, -0.0609741, 0.0405, -0.9979248, 0.0405, -0.2025146, 0.0405, 1.129771, 0.0405, 0.3587786, 0.0405, -3.2824428
0.0055588, -0.0095674, 0.04725, -0.0580444, 0.04725, -1.0006714, 0.04725, -0.2005005, 0.04725, 0.9465649, 0.04725, 0.2824427, 0.04725, -3.221374
0.0063529, -0.0085603, 0.054, -0.0602417, 0.054, -1.0014038, 0.054, -0.1981812, 0.054, 1.0076336, 0.054, 0.2442748, 0.054, -3.1984732
0.0071471, -0.0082246, 0.06075, -0.0599976, 0.06075, -1.00177, 0.06075, -0.1993408, 0.06075, 1.0534351, 0.06075, 0.3587786, 0.06075, -3.4503818
0.0079412, -0.0105745, 0.0675, -0.0578613, 0.0675, -1.0015259, 0.0675, -0.1998901, 0.0675, 1.2366412, 0.0675, 0.4961832, 0.0675, -3.2442749
0.0087353, -0.0135958, 0.07425, -0.0608521, 0.07425, -0.9994507, 0.07425, -0.2017212, 0.07425, 1.1984733, 0.07425, 0.5114504, 0.07425, -3.3358779
0.0095294, -0.012253, 0.081, -0.0628052, 0.081, -0.9971924, 0.081, -0.2009888, 0.081, 1.0763359, 0.081, 0.6183206, 0.081, -3.4122138
0.0103235, -0.0142672, 0.08775, -0.0612793, 0.08775, -1.0012817, 0.08775, -0.2024536, 0.08775, 1.1068702, 0.08775, 0.1832061, 0.08775, -3.5343511
0.0111176, -0.01561, 0.0945, -0.0584106, 0.0945, -1.0006714, 0.0945, -0.199707, 0.0945, 1.0229008, 0.0945, 0.2748092, 0.0945, -3.3053436
0.0119118, -0.0182956, 0.10125, -0.0543213, 0.10125, -1.0012207, 0.10125, -0.1982422, 0.10125, 1.1374046, 0.10125, 0.1221374, 0.10125, -3.3969467
0.0127059, -0.0166171, 0.108, -0.0552979, 0.108, -0.9997559, 0.108, -0.1986694, 0.108, 1.0076336, 0.108, 0.3053435, 0.108, -3.3206108
0.0135, -0.0137636, 0.11475, -0.0524292, 0.11475, -1.0011597, 0.11475, -0.2003784, 0.11475, 1.3282443, 0.11475, 0.3358779, 0.11475, -3.3816793
0.0142941, -0.0162814, 0.1215, -0.0549927, 0.1215, -0.9996338, 0.1215, -0.2003784, 0.1215, 1.1068702, 0.1215, 0.2137405, 0.1215, -3.5267177
0.0150882, -0.0129244, 0.12825, -0.055542, 0.12825, -1.0014038, 0.12825, -0.199585, 0.12825, 1.1755725, 0.12825, 0.2671756, 0.12825, -3.3740458
0.0158824, -0.0129244, 0.135, -0.0551758, 0.135, -1.0009766, 0.135, -0.1975098, 0.135, 0.9541985, 0.135, 0.3129771, 0.135, -3.4732823
