Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 10:37:53
Collection Length (seconds):, 37.125
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0162814, 0, 0.0095825, 0, -1.0073242, 0, -0.1202393, 0, 1.1450381, 0, 1.1068702, 0, -3.389313
0.0007941, -0.0149386, 0.00675, 0.0093384, 0.00675, -1.0062256, 0.00675, -0.1195068, 0.00675, 1.0305344, 0.00675, 1.2290076, 0.00675, -3.2900763
0.0015882, -0.0182956, 0.0135, 0.0130005, 0.0135, -1.0049438, 0.0135, -0.1223145, 0.0135, 1.1526718, 0.0135, 1.5954199, 0.0135, -3.1679389
0.0023824, -0.0162814, 0.02025, 0.0114746, 0.02025, -1.0062256, 0.02025, -0.1223145, 0.02025, 0.9389313, 0.02025, 1.389313, 0.02025, -3.259542
0.0031765, -0.0162814, 0.027, 0.0063477, 0.027, -1.0062256, 0.027, -0.1237183, 0.027, 1.1145039, 0.027, 1, 0.027, -3.259542
0.0039706, -0.0169528, 0.03375, 0.0075073, 0.03375, -1.0054321, 0.03375, -0.1261597, 0.03375, 1.0229008, 0.03375, 0.870229, 0.03375, -3.4274809
0.0047647, -0.018967, 0.0405, 0.00354, 0.0405, -1.0088501, 0.0405, -0.1238403, 0.0405, 1.038168, 0.0405, 0.6183206, 0.0405, -3.3282442
0.0055588, -0.017792, 0.04725, 0.0055542, 0.04725, -1.006958, 0.04725, -0.119751, 0.04725, 1.3053435, 0.04725, 0.8091603, 0.04725, -3.5267177
0.0063529, -0.0171206, 0.054, 0.0039673, 0.054, -1.005249, 0.054, -0.1184692, 0.054, 1.5954199, 0.054, 0.908397, 0.054, -3.3358779
