Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 10:55:15
Collection Length (seconds):, 41.958
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.018967, 0, 0.015564, 0, -1.0078735, 0, -0.076355, 0, 1.3664122, 0, 0.740458, 0, -3.2290077
0.0007941, -0.018967, 0.00675, 0.0140991, 0.00675, -1.0053711, 0.00675, -0.0751343, 0.00675, 1.221374, 0.00675, 0.5877863, 0.00675, -3.3282442
0.0015882, -0.0157778, 0.0135, 0.0130005, 0.0135, -1.0075684, 0.0135, -0.0782471, 0.0135, 1.3664122, 0.0135, 0.6641222, 0.0135, -3.1908398
0.0023824, -0.01561, 0.02025, 0.0134277, 0.02025, -1.0076904, 0.02025, -0.0770264, 0.02025, 1.3358779, 0.02025, 0.4656489, 0.02025, -3.2442749
0.0031765, -0.0213169, 0.027, 0.0108643, 0.027, -1.0076294, 0.027, -0.076416, 0.027, 1.221374, 0.027, 0.5572519, 0.027, -3.1832061
0.0039706, -0.0219883, 0.03375, 0.0147095, 0.03375, -1.0061646, 0.03375, -0.0759888, 0.03375, 1.4122137, 0.03375, 0.7175573, 0.03375, -3.0229008
0.0047647, -0.0199741, 0.0405, 0.0161743, 0.0405, -1.0072632, 0.0405, -0.0764771, 0.0405, 1.2519084, 0.0405, 0.7251908, 0.0405, -3.2671757
0.0055588, -0.018967, 0.04725, 0.0177612, 0.04725, -1.0059814, 0.04725, -0.0787964, 0.04725, 1.3053435, 0.04725, 0.7709923, 0.04725, -3.1832061
0.0063529, -0.0157778, 0.054, 0.0134888, 0.054, -1.0040283, 0.054, -0.0786133, 0.054, 1.2748091, 0.054, 0.8473282, 0.054, -3.2900763
0.0071471, -0.0137636, 0.06075, 0.0153198, 0.06075, -1.0088501, 0.06075, -0.0797119, 0.06075, 1.0305344, 0.06075, 0.740458, 0.06075, -3.1908398
0.0079412, -0.0129244, 0.0675, 0.0145264, 0.0675, -1.0078735, 0.0675, -0.0776978, 0.0675, 1, 0.0675, 0.8167939, 0.0675, -3.1679389
0.0087353, -0.0115816, 0.07425, 0.0125122, 0.07425, -1.0071411, 0.07425, -0.0783081, 0.07425, 0.9541985, 0.07425, 0.8244275, 0.07425, -3.129771
0.0095294, -0.0095674, 0.081, 0.0142822, 0.081, -1.0078735, 0.081, -0.078125, 0.081, 0.8778626, 0.081, 0.7022901, 0.081, -3.1526718
0.0103235, -0.0082246, 0.08775, 0.0139771, 0.08775, -1.0067139, 0.08775, -0.0801392, 0.08775, 0.9847328, 0.08775, 0.648855, 0.08775, -3.1679389
0.0111176, -0.0099031, 0.0945, 0.0162354, 0.0945, -1.0066528, 0.0945, -0.0765381, 0.0945, 1.038168, 0.0945, 0.7709923, 0.0945, -3.1221373
0.0119118, -0.008896, 0.10125, 0.0177002, 0.10125, -1.0081787, 0.10125, -0.0786133, 0.10125, 1.1221374, 0.10125, 0.7328244, 0.10125, -3.091603
0.0127059, -0.0068818, 0.108, 0.0150146, 0.108, -1.0063477, 0.108, -0.0776367, 0.108, 0.9465649, 0.108, 0.8931298, 0.108, -3.3129771
0.0135, -0.0090639, 0.11475, 0.0140381, 0.11475, -1.0087891, 0.11475, -0.0748901, 0.11475, 0.9923664, 0.11475, 0.5725191, 0.11475, -3.2442749
0.0142941, -0.0105745, 0.1215, 0.0180054, 0.1215, -1.0083008, 0.1215, -0.0769653, 0.1215, 1.0229008, 0.1215, 0.4503817, 0.1215, -3.2748091
0.0150882, -0.0132601, 0.12825, 0.0169067, 0.12825, -1.0083008, 0.12825, -0.0784912, 0.12825, 1.2061069, 0.12825, 0.5572519, 0.12825, -3.2061069
0.0158824, -0.0149386, 0.135, 0.0170288, 0.135, -1.0081787, 0.135, -0.0799561, 0.135, 1.0152671, 0.135, 0.8167939, 0.135, -3.0458016
0.0166765, -0.0162814, 0.14175, 0.0147095, 0.14175, -1.0061035, 0.14175, -0.0732422, 0.14175, 0.9694657, 0.14175, 0.8854962, 0.14175, -3.1755726
0.0174706, -0.0146029, 0.1485, 0.0161743, 0.1485, -1.0090332, 0.1485, -0.0703125, 0.1485, 1.0610687, 0.1485, 0.7175573, 0.1485, -3.3282442
0.0182647, -0.0149386, 0.15525, 0.0140991, 0.15525, -1.0074463, 0.15525, -0.0714111, 0.15525, 1.0763359, 0.15525, 0.9541985, 0.15525, -3.1984732
0.0190588, -0.0169528, 0.162, 0.0150757, 0.162, -1.0085449, 0.162, -0.0742188, 0.162, 1, 0.162, 0.8931298, 0.162, -3.2290077
0.0198529, -0.0193027, 0.16875, 0.015625, 0.16875, -1.0085449, 0.16875, -0.0758057, 0.16875, 0.9389313, 0.16875, 0.778626, 0.16875, -3.259542
0.0206471, -0.0216526, 0.1755, 0.012146, 0.1755, -1.0076904, 0.1755, -0.0749512, 0.1755, 1.1908396, 0.1755, 0.9007633, 0.1755, -3.1755726
0.0214412, -0.0203098, 0.18225, 0.0144653, 0.18225, -1.0050659, 0.18225, -0.0762939, 0.18225, 1.1603054, 0.18225, 0.8931298, 0.18225, -3.1068702
0.0222353, -0.018967, 0.189, 0.0134888, 0.189, -1.0061035, 0.189, -0.0752563, 0.189, 1.2442749, 0.189, 0.7557252, 0.189, -3.2977099
0.0230294, -0.0182956, 0.19575, 0.0115967, 0.19575, -1.0064697, 0.19575, -0.0753784, 0.19575, 1.1603054, 0.19575, 0.8091603, 0.19575, -3.3969467
0.0238235, -0.0216526, 0.2025, 0.0131836, 0.2025, -1.0075073, 0.2025, -0.0759277, 0.2025, 1.1526718, 0.2025, 0.8320611, 0.2025, -3.2290077
0.0246176, -0.0196384, 0.20925, 0.0134888, 0.20925, -1.0093994, 0.20925, -0.0770264, 0.20925, 1.1068702, 0.20925, 0.9847328, 0.20925, -3.1068702
0.0254118, -0.01561, 0.216, 0.0131226, 0.216, -1.0075073, 0.216, -0.0767212, 0.216, 1.2824427, 0.216, 1.0610687, 0.216, -3.1832061
0.0262059, -0.0130922, 0.22275, 0.015625, 0.22275, -1.0081177, 0.22275, -0.0770874, 0.22275, 1.0839695, 0.22275, 0.9923664, 0.22275, -3.1603053
0.027, -0.0129244, 0.2295, 0.0145264, 0.2295, -1.0054932, 0.2295, -0.0735474, 0.2295, 1.2519084, 0.2295, 0.961832, 0.2295, -3.0305343
0.0277941, -0.0176242, 0.23625, 0.0140991, 0.23625, -1.0073853, 0.23625, -0.0750732, 0.23625, 1.1374046, 0.23625, 0.9236641, 0.23625, -3.0687022
0.0285882, -0.0199741, 0.243, 0.0148315, 0.243, -1.005188, 0.243, -0.0741577, 0.243, 1.2900764, 0.243, 0.9694657, 0.243, -2.9847329
0.0293824, -0.0179599, 0.24975, 0.0187988, 0.24975, -1.0081177, 0.24975, -0.0776978, 0.24975, 1.1526718, 0.24975, 0.9923664, 0.24975, -3.0534351
0.0301765, -0.0142672, 0.2565, 0.0149536, 0.2565, -1.0073242, 0.2565, -0.0767822, 0.2565, 0.9236641, 0.2565, 0.908397, 0.2565, -3.1450381
0.0309706, -0.0095674, 0.26325, 0.0148315, 0.26325, -1.0106812, 0.26325, -0.0795288, 0.26325, 0.9465649, 0.26325, 1.0687023, 0.26325, -3.0992367
0.0317647, -0.0117494, 0.27, 0.0150146, 0.27, -1.008606, 0.27, -0.078064, 0.27, 0.961832, 0.27, 0.9236641, 0.27, -3.1832061
0.0325588, -0.0182956, 0.27675, 0.013916, 0.27675, -1.0064697, 0.27675, -0.0768433, 0.27675, 0.908397, 0.27675, 0.9694657, 0.27675, -3.0305343
0.0333529, -0.018967, 0.2835, 0.0105591, 0.2835, -1.0054932, 0.2835, -0.0778198, 0.2835, 0.6946565, 0.2835, 0.6641222, 0.2835, -2.8320611
0.0341471, -0.0229953, 0.29025, 0.0100098, 0.29025, -1.0075073, 0.29025, -0.0772095, 0.29025, 0.7328244, 0.29025, 0.4961832, 0.29025, -2.9923663
0.0349412, -0.023331, 0.297, 0.0131836, 0.297, -1.0088501, 0.297, -0.0722656, 0.297, 0.8854962, 0.297, 0.2900763, 0.297, -3.0610688
0.0357353, -0.018967, 0.30375, 0.0177612, 0.30375, -1.006958, 0.30375, -0.072876, 0.30375, 0.9389313, 0.30375, 0.4732825, 0.30375, -3.2137403
0.0365294, -0.018967, 0.3105, 0.0172119, 0.3105, -1.0076904, 0.3105, -0.076416, 0.3105, 0.9160305, 0.3105, 0.740458, 0.3105, -3.0305343
0.0373235, -0.018967, 0.31725, 0.0177612, 0.31725, -1.0058594, 0.31725, -0.0769043, 0.31725, 0.9465649, 0.31725, 0.7251908, 0.31725, -3.0763359
0.0381176, -0.017792, 0.324, 0.0174561, 0.324, -1.0093384, 0.324, -0.0754395, 0.324, 1.221374, 0.324, 0.7175573, 0.324, -3.1221373
0.0389118, -0.0129244, 0.33075, 0.0137329, 0.33075, -1.0094604, 0.33075, -0.0773315, 0.33075, 1.0076336, 0.33075, 0.778626, 0.33075, -3.1984732
0.0397059, -0.0102388, 0.3375, 0.0115356, 0.3375, -1.0059204, 0.3375, -0.078186, 0.3375, 0.9694657, 0.3375, 0.7557252, 0.3375, -3.2366412
0.0405, -0.008896, 0.34425, 0.010437, 0.34425, -1.0036621, 0.34425, -0.0751953, 0.34425, 1.0687023, 0.34425, 0.7862595, 0.34425, -3.2748091
0.0412941, -0.0092317, 0.351, 0.0132446, 0.351, -1.0064697, 0.351, -0.0761108, 0.351, 1, 0.351, 0.3664122, 0.351, -3.0229008
0.0420882, -0.012253, 0.35775, 0.0135498, 0.35775, -1.0084839, 0.35775, -0.0765381, 0.35775, 0.9541985, 0.35775, 0.4427481, 0.35775, -3.1679389
0.0428824, -0.0159457, 0.3645, 0.0122681, 0.3645, -1.0098877, 0.3645, -0.0776978, 0.3645, 0.9770992, 0.3645, 0.4961832, 0.3645, -3.2977099
0.0436765, -0.0169528, 0.37125, 0.0163574, 0.37125, -1.010376, 0.37125, -0.0784302, 0.37125, 1.1832061, 0.37125, 0.7709923, 0.37125, -3.1832061
0.0444706, -0.0162814, 0.378, 0.0159302, 0.378, -1.0062866, 0.378, -0.0794678, 0.378, 1.0687023, 0.378, 0.8625954, 0.378, -3.221374
0.0452647, -0.0135958, 0.38475, 0.0167236, 0.38475, -1.0078735, 0.38475, -0.0783081, 0.38475, 1.2824427, 0.38475, 0.7328244, 0.38475, -3.0839694
0.0460588, -0.0142672, 0.3915, 0.0170898, 0.3915, -1.006958, 0.3915, -0.0776978, 0.3915, 1.2900764, 0.3915, 0.8320611, 0.3915, -3.2137403
0.0468529, -0.0129244, 0.39825, 0.0158081, 0.39825, -1.0078125, 0.39825, -0.0823975, 0.39825, 1.091603, 0.39825, 0.6412213, 0.39825, -3.091603
0.0476471, -0.0115816, 0.405, 0.0148926, 0.405, -1.0093384, 0.405, -0.0802612, 0.405, 1.1755725, 0.405, 0.6259542, 0.405, -3.3969467
0.0484412, -0.0146029, 0.41175, 0.0130615, 0.41175, -1.0065918, 0.41175, -0.078064, 0.41175, 1.3129771, 0.41175, 0.8244275, 0.41175, -3.1145039
0.0492353, -0.0146029, 0.4185, 0.013916, 0.4185, -1.0063477, 0.4185, -0.0823975, 0.4185, 1.3740458, 0.4185, 0.8244275, 0.4185, -3.3053436
0.0500294, -0.012253, 0.42525, 0.015564, 0.42525, -1.0032349, 0.42525, -0.0799561, 0.42525, 1.4122137, 0.42525, 0.9236641, 0.42525, -3.0534351
0.0508235, -0.012253, 0.432, 0.0136108, 0.432, -1.0056763, 0.432, -0.0811157, 0.432, 1.5801526, 0.432, 0.9847328, 0.432, -3.221374
0.0516176, -0.0135958, 0.43875, 0.0112915, 0.43875, -1.0085449, 0.43875, -0.0784912, 0.43875, 1.4351145, 0.43875, 0.9694657, 0.43875, -3.2519083
0.0524118, -0.0139315, 0.4455, 0.0089722, 0.4455, -1.0066528, 0.4455, -0.0789185, 0.4455, 1.4045801, 0.4455, 0.9160305, 0.4455, -3.2824428
0.0532059, -0.0119173, 0.45225, 0.0081787, 0.45225, -1.0078125, 0.45225, -0.0761719, 0.45225, 1.351145, 0.45225, 0.7251908, 0.45225, -3.0992367
0.054, -0.0114137, 0.459, 0.0126343, 0.459, -1.0068359, 0.459, -0.0751953, 0.459, 1.2824427, 0.459, 0.5496183, 0.459, -3.2290077
0.0547941, -0.0119173, 0.46575, 0.0112915, 0.46575, -1.0090332, 0.46575, -0.0764771, 0.46575, 1.3969465, 0.46575, 0.5648855, 0.46575, -3.2290077
0.0555882, -0.0109102, 0.4725, 0.013916, 0.4725, -1.0079346, 0.4725, -0.0785522, 0.4725, 1.3664122, 0.4725, 0.6870229, 0.4725, -3.2366412
0.0563824, -0.0082246, 0.47925, 0.0126953, 0.47925, -1.0126343, 0.47925, -0.0762939, 0.47925, 1.4427481, 0.47925, 0.961832, 0.47925, -3.389313
0.0571765, -0.0115816, 0.486, 0.0132446, 0.486, -1.008667, 0.486, -0.0759277, 0.486, 1.4045801, 0.486, 0.9160305, 0.486, -3.4045801
0.0579706, -0.0146029, 0.49275, 0.0152588, 0.49275, -1.0058594, 0.49275, -0.0778809, 0.49275, 1.3053435, 0.49275, 0.9007633, 0.49275, -3.4961832
0.0587647, -0.0162814, 0.4995, 0.0139771, 0.4995, -1.0068359, 0.4995, -0.0767212, 0.4995, 1.3053435, 0.4995, 0.8320611, 0.4995, -3.3053436
0.0595588, -0.0129244, 0.50625, 0.0144043, 0.50625, -1.005249, 0.50625, -0.0749512, 0.50625, 1.2900764, 0.50625, 0.7938932, 0.50625, -3.3053436
0.0603529, -0.0117494, 0.513, 0.0134277, 0.513, -1.0045776, 0.513, -0.0748291, 0.513, 1.3206106, 0.513, 0.908397, 0.513, -3.3129771
0.0611471, -0.011078, 0.51975, 0.0160522, 0.51975, -1.003479, 0.51975, -0.0755615, 0.51975, 1.4045801, 0.51975, 0.7175573, 0.51975, -3.0992367
0.0619412, -0.0137636, 0.5265, 0.0146484, 0.5265, -1.0065918, 0.5265, -0.0753784, 0.5265, 1.5038168, 0.5265, 0.6946565, 0.5265, -3.3435113
0.0627353, -0.0129244, 0.53325, 0.0137939, 0.53325, -1.0083008, 0.53325, -0.0707397, 0.53325, 1.3587786, 0.53325, 0.6641222, 0.53325, -3.389313
0.0635294, -0.014435, 0.54, 0.015686, 0.54, -1.0056763, 0.54, -0.0759277, 0.54, 1.4122137, 0.54, 0.7022901, 0.54, -3.3435113
0.0643235, -0.0135958, 0.54675, 0.0181885, 0.54675, -1.0081177, 0.54675, -0.0716553, 0.54675, 1.259542, 0.54675, 0.8091603, 0.54675, -3.1984732
0.0651176, -0.0102388, 0.5535, 0.0181885, 0.5535, -1.0119629, 0.5535, -0.0704956, 0.5535, 1.4351145, 0.5535, 0.9007633, 0.5535, -3.259542
0.0659118, -0.0102388, 0.56025, 0.0183716, 0.56025, -1.0103149, 0.56025, -0.0717163, 0.56025, 1.221374, 0.56025, 0.8167939, 0.56025, -3.2900763
0.0667059, -0.0112459, 0.567, 0.0152588, 0.567, -1.0073242, 0.567, -0.0722656, 0.567, 1.1526718, 0.567, 0.8549618, 0.567, -3.3206108
0.0675, -0.0104067, 0.57375, 0.015564, 0.57375, -1.008728, 0.57375, -0.0736694, 0.57375, 0.6641222, 0.57375, 0.8320611, 0.57375, -3.351145
0.0682941, -0.012253, 0.5805, 0.0132446, 0.5805, -1.0075684, 0.5805, -0.0725708, 0.5805, 0.4351145, 0.5805, 0.5038168, 0.5805, -3.2748091
0.0690882, -0.0146029, 0.58725, 0.0152588, 0.58725, -1.0095215, 0.58725, -0.0741577, 0.58725, 0.3206107, 0.58725, 0.2748092, 0.58725, -3.3587787
0.0698824, -0.0166171, 0.594, 0.0119019, 0.594, -1.006897, 0.594, -0.0773315, 0.594, 0.1374046, 0.594, 0.480916, 0.594, -3.2748091
0.0706765, -0.0151064, 0.60075, 0.0117798, 0.60075, -1.010376, 0.60075, -0.0737915, 0.60075, 0.2366412, 0.60075, 0.3740458, 0.60075, -3.1984732
0.0714706, -0.0142672, 0.6075, 0.0110474, 0.6075, -1.0079956, 0.6075, -0.0725098, 0.6075, 0.1145038, 0.6075, 0.5801527, 0.6075, -3.3053436
0.0722647, -0.01561, 0.61425, 0.0129395, 0.61425, -1.0081787, 0.61425, -0.0768433, 0.61425, 0.1145038, 0.61425, 0.6946565, 0.61425, -3.1832061
0.0730588, -0.0164492, 0.621, 0.0096436, 0.621, -1.0085449, 0.621, -0.0793457, 0.621, 0.1984733, 0.621, 0.2442748, 0.621, -3.1908398
