analysis,compare,subject,muscle,side,session,delsys,device,device_file,status
device_compare,a09_vs_delsys,Frank,脛前肌,右,a09,,ze1,,missing_files
device_compare,a10_vs_delsys,Frank,脛前肌,右,a10,,ze1,,missing_files
device_compare,ze2_vs_delsys,Frank,脛前肌,右,,,ze2,09-09_11-27-57_319_Ch1(frank右脛前肌).txt,missing_files
device_compare,a09_vs_delsys,Frank,脛前肌,左,a09,2609-09 frank左脛前肌(Delsys)_with_a09_1.csv,ze1,09-09_09-41-19_786_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_1.txt,ready
device_compare,a10_vs_delsys,Frank,脛前肌,左,a10,2609-09 frank左脛前肌(Delsys)_with_a09_1.csv,ze1,,missing_files
device_compare,ze2_vs_delsys,Frank,脛前肌,左,,2609-09 frank左脛前肌(Delsys)_with_a09_1.csv,ze2,09-03_11-44-33_364_Ch2(Frank 左脛前肌).txt,ready
device_compare,a09_vs_delsys,Frank,腓腸肌,右,a09,,ze1,,missing_files
device_compare,a10_vs_delsys,Frank,腓腸肌,右,a10,,ze1,,missing_files
device_compare,ze2_vs_delsys,Frank,腓腸肌,右,,,ze2,09-03_15-32-47_275_Ch2(Frank 右腓腸肌).txt,missing_files
device_compare,a09_vs_delsys,Frank,腓腸肌,左,a09,,ze1,,missing_files
device_compare,a10_vs_delsys,Frank,腓腸肌,左,a10,,ze1,,missing_files
device_compare,ze2_vs_delsys,Frank,腓腸肌,左,,,ze2,09-03_12-24-16_163_Ch1(Frank 左腓腸肌).txt,missing_files
