status,subject,muscle,side,device,file,correlation_iemg,correlation_rms,n_pairs,mean_aemg,mean_rms
可比對,Frank,脛前肌,右,ze1,09-09_11-19-17_426_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_1.txt,0.9878,0.0752,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-27-57_319_Ch1_(Frank 右脛前肌)_ze2_褲XL_1.txt,0.9739,0.6142,3,,
可比對,Frank,脛前肌,右,ze1,09-09_11-21-27_792_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_2.txt,0.9894,0.0569,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-30-01_689_Ch1_(Frank 右脛前肌)_ze2_褲XL_2.txt,0.9858,0.6764,3,,
可比對,Frank,脛前肌,右,ze1,09-09_11-23-48_013_ExgCh2Data_(Frank 右脛前肌)_a10_褲XL_1.txt,0.9828,-0.2272,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-27-57_319_Ch1(frank右脛前肌).txt,0.9705,0.2974,3,,
可比對,Frank,脛前肌,右,ze1,09-09_11-25-35_742_ExgCh2Data_(Frank 右脛前肌)_a10_褲XL_2.txt,0.9874,-0.2113,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-30-01_689_Ch1(frank右脛前肌).txt,0.9873,0.718,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_11-48-01_319_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_1.txt,0.9984,-0.1824,3,,
可比對,Frank,腓腸肌,右,ze2,09-09_11-59-10_048_Ch2_(Frank 右腓腸肌)_ze2_褲XL_1.txt,0.9967,-0.1283,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_11-52-29_385_ExgCh1Data_(Frank 右腓腸肌)_a10_褲XL_1.txt,0.997,-0.3762,3,,
可比對,Frank,腓腸肌,右,ze2,09-09_12-1-14_084_Ch2_(Frank 右腓腸肌)_ze2_褲XL_2.txt,0.9878,0.5665,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_11-55-52_064_ExgCh1Data_(Frank 右腓腸肌)_a10_褲XL_2.txt,0.9985,0.0436,3,,
可比對,Frank,腓腸肌,右,ze2,09-03_15-32-47_275_Ch2(Frank 右腓腸肌).txt,0.9955,0.7757,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-41-19_786_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_1.txt,0.9897,-0.0323,3,,
可比對,Frank,脛前肌,左,ze2,09-09_10-8-56_879_Ch2_(Frank_左脛前肌)_ze2_褲XL_1.txt,0.9881,-0.3434,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-45-46_944_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_2.txt,0.991,-0.0713,3,,
可比對,Frank,脛前肌,左,ze2,09-09_10-12-46_289_Ch2_(Frank 左脛前肌)_ze2_褲XL_2.txt,0.9945,0.5993,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-52-57_312_ExgCh1Data_(Frank 左脛前肌)_a10_褲XL_1.txt,0.9836,-0.3171,3,,
可比對,Frank,脛前肌,左,ze2,09-03_11-44-33_364_Ch2(Frank 左脛前肌).txt,0.9893,0.4569,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-58-36_663_ExgCh1Data_(Frank 左脛前肌)_a10_褲XL_2.txt,0.9866,-0.0503,3,,
可比對,Frank,脛前肌,左,ze2,09-09_10-12-46_289_Ch1_(Frank 左脛前肌)_ze2_褲XL_2.txt,0.9896,0.6561,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-31-15_181_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_1.txt,0.9978,-0.2831,3,,
可比對,Frank,腓腸肌,左,ze2,09-09_10-48-41_826_Ch1_(Frank 左腓腸肌)_ze2_褲XL_1.txt,0.9929,-0.3765,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-35-51_625_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_2.txt,0.9978,0.3016,3,,
可比對,Frank,腓腸肌,左,ze2,09-09_10-51-00_016_Ch1_(Frank 左腓腸肌)_ze2_褲XL_2.txt,0.9956,0.4594,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-40-13_031_ExgCh2Data_(Frank 左腓腸肌)_a10_褲XL_1.txt,0.9901,0.1844,3,,
可比對,Frank,腓腸肌,左,ze2,09-03_12-24-16_163_Ch1(Frank 左腓腸肌).txt,0.9981,0.5495,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-45-37_881_ExgCh2Data_(Frank 左腓腸肌)_a10_褲XL_2.txt,0.9945,-0.0465,3,,
可比對,Frank,腓腸肌,左,ze2,09-09_10-51-00_016_Ch2_(Frank 左腓腸肌)_ze2_褲XL_2.txt,0.992,0.4092,3,,
可比對,Frank,脛前肌,右,ze1,09-09_14-55-41_279_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_去腿毛.txt,0.9743,0.1142,3,,
可比對,Frank,脛前肌,右,ze2,09-03_14-45-34_825_Ch1(Frank 右脛前肌).txt,0.963,0.0164,3,,
可比對,Frank,脛前肌,右,ze1,09-09_14-57-46_856_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞1.txt,0.978,-0.1077,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-27-57_319_Ch2(frank右脛前肌).txt,0.9852,0.6188,3,,
可比對,Frank,脛前肌,右,ze1,09-09_15-01-03_995_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞2.txt,0.999,0.0574,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-27-57_319_Ch2_(Frank 右脛前肌)_ze2_褲XL_1.txt,0.7913,-0.416,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_11-50-05_808_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_2.txt,0.9991,-0.1617,3,,
可比對,Frank,腓腸肌,右,ze2,09-09_11-59-10_048_Ch1_(Frank 右腓腸肌)_ze2_褲XL_1.txt,0.9826,0.1835,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_15-16-55_610_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_去腿毛.txt,0.9954,-0.4486,3,,
可比對,Frank,腓腸肌,右,ze2,09-09_12-1-14_084_Ch1_(Frank 右腓腸肌)_ze2_褲XL_2.txt,0.9889,-0.424,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_15-20-08_195_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞1.txt,0.9997,0.224,3,,
可比對,Frank,脛前肌,左,ze1,09-09_12-39-13_023_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_去腿毛.txt,0.9739,0.1838,3,,
可比對,Frank,脛前肌,左,ze2,09-09_10-8-56_879_Ch1_(Frank_左脛前肌)_ze2_褲XL_1.txt,0.9899,-0.1518,3,,
可比對,Frank,脛前肌,左,ze1,09-09_12-42-56_134_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞1.txt,0.988,0.3717,3,,
可比對,Frank,脛前肌,左,ze1,09-09_12-47-55_198_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞2.txt,0.9951,-0.0492,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_14-32-12_387_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_去腿毛.txt,0.9674,0.6006,3,,
可比對,Frank,腓腸肌,左,ze2,09-09_10-48-41_826_Ch2_(Frank 左腓腸肌)_ze2_褲XL_1.txt,0.9988,0.0264,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_14-34-47_174_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞1.txt,0.9959,-0.0461,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_14-38-43_403_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞2.txt,0.9954,-0.0469,3,,
可比對,Frank,脛前肌,右,ze1,09-09_15-05-27_867_ExgCh2Data_(Frank 右脛前肌)_a09_褲XL_疲勞3.txt,0.9908,0.0449,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-30-01_689_Ch2(frank右脛前肌).txt,0.9673,0.519,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_15-23-04_934_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞2.txt,0.9892,0.0565,3,,
可比對,Frank,脛前肌,左,ze1,09-09_12-51-53_172_ExgCh1Data_(Frank 左脛前肌)_a09_褲XL_疲勞3.txt,0.9875,0.2483,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_14-42-34_881_ExgCh2Data_(Frank 左腓腸肌)_a09_褲XL_疲勞3.txt,0.9985,0.0695,3,,
可比對,Frank,脛前肌,右,ze1,09-09_11-19-17_426_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_1.txt,0.9878,0.7495,3,,
可比對,Frank,脛前肌,右,ze2,09-09_11-30-01_689_Ch2_(Frank 右脛前肌)_ze2_褲XL_2.txt,0.9753,0.7523,3,,
可比對,Frank,脛前肌,右,ze1,09-09_11-21-27_792_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_2.txt,0.9641,-0.0842,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_15-25-56_272_ExgCh1Data_(Frank 右腓腸肌)_a09_褲XL_疲勞3.txt,0.9913,-0.5955,3,,
可比對,Frank,腓腸肌,右,ze1,09-09_11-50-05_808_ExgCh2Data_(Frank 右腓腸肌)_a09_褲XL_2.txt,0.9949,0.6864,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-41-19_786_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_1.txt,0.9828,-0.3982,3,,
可比對,Frank,脛前肌,左,ze1,09-09_09-45-46_944_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_2.txt,0.9602,-0.4256,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-31-15_181_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_1.txt,0.9984,0.2104,3,,
可比對,Frank,腓腸肌,左,ze1,09-09_10-35-51_625_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_2.txt,0.998,0.4271,3,,
