row,status,site,purpose,device_note,contraction_method,feature_method,expected_count,ref,exp,ref_count,exp_count,rms_pearson_r,rms_icc,iemg_pearson_r,iemg_icc,ttri_rms_r,ttri_iemg_r,note,json
2,done,右脛前肌,裝置比對,a09,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_a09_1.csv,09-09_11-19-17_426_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_1.txt,3,3,0.6936,0.0953,0.8403,0.0459,0.6447,0.9893,,裝置比對/右脛前肌/r02_a09_09-09_11-19-17_426_ExgCh1Data__Frank_右脛前肌__a09_褲.json
3,done,右脛前肌,裝置比對,a09,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_a09_2.csv,09-09_11-21-27_792_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_2.txt,3,3,0.9523,0.4956,0.9155,0.1797,-0.1614,0.9618,,裝置比對/右脛前肌/r03_a09_09-09_11-21-27_792_ExgCh1Data__Frank_右脛前肌__a09_褲.json
4,done,右脛前肌,裝置比對,a10,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_a10_1.csv,09-09_11-23-48_013_ExgCh1Data_(Frank 右脛前肌)_a10_褲XL_1.txt,3,3,0.5505,0.0058,0.8007,0.0174,0.5533,0.9842,,裝置比對/右脛前肌/r04_a10_09-09_11-23-48_013_ExgCh1Data__Frank_右脛前肌__a10_褲.json
5,done,右脛前肌,裝置比對,a10,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_a10_2.csv,09-09_11-25-35_742_ExgCh1Data_(Frank 右脛前肌)_a10_褲XL_2.txt,3,3,-0.8963,-0.0088,-0.8567,-0.0262,0.8032,0.9829,,裝置比對/右脛前肌/r05_a10_09-09_11-25-35_742_ExgCh1Data__Frank_右脛前肌__a10_褲.json
6,done,右脛前肌,裝置比對,ze2,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_ze2_1.csv,09-09_11-27-57_319_Ch2_(Frank 右脛前肌)_ze2_褲XL_1.txt,3,3,-0.4749,-0.5168,-0.7684,-0.4574,-0.499,0.9548,TXT/ZE2 thr fix (quiet+k=2+cap) → exp 0→3,裝置比對/右脛前肌/r06_ze2_09-09_11-27-57_319_Ch2__Frank_右脛前肌__ze2_褲XL_1.json
7,done,右脛前肌,裝置比對,ze2,ze1_schmitt,ttri,3,2609-09 frank右脛前肌(Delsys)_with_ze2_2.csv,09-09_11-30-01_689_Ch2_(Frank 右脛前肌)_ze2_褲XL_2.txt,3,3,-0.7006,-0.072,-0.9182,-2.0894,0.7207,0.9751,,裝置比對/右脛前肌/r07_ze2_09-09_11-30-01_689_Ch2__Frank_右脛前肌__ze2_褲XL_2.json
8,done,左脛前肌,裝置比對,a09,ze1_schmitt,ttri,3,2609-09 frank左脛前肌(Delsys)_with_a09_1.csv,09-09_09-41-19_786_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_1.txt,3,3,-0.4897,-0.0552,-0.104,-0.0058,0.5556,0.9782,TXT thr fix → exp 2→3,裝置比對/左脛前肌/r08_a09_09-09_09-41-19_786_ExgCh2Data__Frank_左脛前肌__a09_褲.json
9,done,左脛前肌,裝置比對,a09,ze1_schmitt,ttri,3,2609-09 frank左脛前肌(Delsys)_with_a09_2.csv,09-09_09-45-46_944_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_2.txt,3,3,0.945,0.0406,-0.9059,-0.0365,0.464,0.9863,,裝置比對/左脛前肌/r09_a09_09-09_09-45-46_944_ExgCh2Data__Frank_左脛前肌__a09_褲.json
10,done,左脛前肌,裝置比對,a10,ze1_schmitt,ttri,3,2609-09 frank左脛前肌(Delsys)_with_a10_1.csv,09-09_09-52-57_312_ExgCh2Data_(Frank 左脛前肌)_a10_褲XL_1.txt,3,3,-0.9597,-0.0265,-0.9978,-0.0106,0.2451,0.988,,裝置比對/左脛前肌/r10_a10_09-09_09-52-57_312_ExgCh2Data__Frank_左脛前肌__a10_褲.json
11,done,左脛前肌,裝置比對,a10,ze1_schmitt,ttri,3,2609-09 frank左脛前肌(Delsys)_with_a10_2.csv,09-09_09-58-36_663_ExgCh2Data_(Frank 左脛前肌)_a10_褲XL_2.txt,3,3,0.1823,0.0059,-0.6747,-0.1626,0.5189,0.9868,,裝置比對/左脛前肌/r11_a10_09-09_09-58-36_663_ExgCh2Data__Frank_左脛前肌__a10_褲.json
